# N=50 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.0125 0
0.01875 0.006
0.021875 0.012
0.0226563 0.022
0.0234375 0.024
0.025 0.028
0.0265625 0.036
0.0273438 0.058
0.028125 0.064
0.0296875 0.07
0.0304687 0.084
0.03125 0.082
0.0320312 0.08
0.0328125 0.12
0.034375 0.128
0.0351562 0.148
0.0359375 0.15
0.0367188 0.168
0.0375 0.182
0.0382813 0.188
0.0390625 0.2
0.0398438 0.22
0.040625 0.224
0.0414063 0.268
0.0421875 0.25
0.0429688 0.266
0.04375 0.234
0.0445313 0.34
0.0453125 0.276
0.0460938 0.364
0.046875 0.35
0.0484375 0.358
0.0492188 0.412
0.05 0.472
0.0507812 0.502
0.0515625 0.49
0.053125 0.496
0.0539063 0.514
0.0546875 0.562
0.0554687 0.564
0.05625 0.584
0.0570313 0.588
0.0578125 0.612
0.0585938 0.616
0.059375 0.646
0.0601562 0.662
0.0609375 0.706
0.0625 0.7
0.0632812 0.722
0.0640625 0.806
0.0648438 0.764
0.065625 0.776
0.0664062 0.786
0.0671875 0.798
0.0679688 0.804
0.06875 0.812
0.0695313 0.844
0.0703125 0.848
0.0710938 0.858
0.071875 0.884
0.0726563 0.872
0.0734375 0.898
0.075 0.9
0.0757813 0.932
0.0765625 0.926
0.0773438 0.914
0.078125 0.936
0.0789063 0.948
0.0796875 0.948
0.08125 0.952
0.0828125 0.954
0.0835938 0.958
0.084375 0.976
0.0875 0.982
0.090625 0.99
0.09375 0.996
0.1 0.998
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
