# N=60 REP=500 dy=0.01
# BRG
# cicle p
0 0
0.003125 0.002
0.0046875 0.004
0.00625 0.014
0.0078125 0.022
0.00859375 0.052
0.009375 0.048
0.0109375 0.056
0.0117188 0.088
0.0125 0.096
0.0132813 0.158
0.0140625 0.174
0.0148437 0.26
0.015625 0.268
0.0164063 0.304
0.0171875 0.406
0.0179688 0.4
0.01875 0.498
0.0195313 0.534
0.0203125 0.578
0.0210938 0.672
0.021875 0.664
0.0226563 0.74
0.0234375 0.748
0.0242188 0.82
0.025 0.842
0.0257813 0.894
0.0265625 0.9
0.0273438 0.934
0.028125 0.948
0.0289063 0.97
0.0296875 0.972
0.0304687 0.986
0.03125 0.988
0.0328125 0.994
0.034375 0.998
0.0375 1
0.05 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
