# N=10 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.05 0
0.075 0
0.08125 0
0.0828125 0
0.0835938 0
0.084375 0.01
0.0851563 0.004
0.0859375 0.002
0.0875 0.002
0.0882813 0.002
0.0890625 0.004
0.090625 0.004
0.09375 0.004
0.0945312 0.004
0.0953125 0.006
0.0960938 0.006
0.096875 0.008
0.1 0.008
0.100781 0.004
0.101562 0.006
0.102344 0.002
0.103125 0.014
0.103906 0.004
0.104688 0.002
0.105469 0.012
0.10625 0.01
0.107031 0.01
0.107813 0.018
0.108594 0.01
0.109375 0.008
0.110937 0.008
0.111719 0.02
0.1125 0.016
0.115625 0.016
0.116406 0.012
0.117188 0.026
0.117969 0.012
0.11875 0.012
0.119531 0.022
0.120312 0.022
0.121094 0.024
0.121875 0.024
0.122656 0.014
0.123438 0.026
0.124219 0.03
0.125 0.036
0.125781 0.018
0.126562 0.034
0.127344 0.02
0.128125 0.03
0.128906 0.01
0.129688 0.038
0.130469 0.024
0.13125 0.028
0.132031 0.034
0.132812 0.018
0.133594 0.06
0.134375 0.036
0.135156 0.044
0.135938 0.04
0.136719 0.054
0.1375 0.032
0.138281 0.04
0.139063 0.042
0.139844 0.048
0.140625 0.052
0.142188 0.052
0.142969 0.062
0.14375 0.056
0.144531 0.04
0.145313 0.066
0.146094 0.054
0.146875 0.07
0.147656 0.07
0.148438 0.05
0.149219 0.048
0.15 0.09
0.150781 0.08
0.151563 0.05
0.152344 0.062
0.153125 0.082
0.153906 0.078
0.154688 0.086
0.155469 0.092
0.15625 0.092
0.159375 0.092
0.160156 0.104
0.160938 0.082
0.161719 0.092
0.1625 0.104
0.163281 0.084
0.164063 0.114
0.164844 0.098
0.165625 0.12
0.166406 0.088
0.167188 0.096
0.167969 0.09
0.16875 0.106
0.169531 0.118
0.170313 0.124
0.171094 0.122
0.171875 0.1
0.172656 0.112
0.173438 0.118
0.174219 0.13
0.175 0.128
0.175781 0.128
0.176563 0.16
0.177344 0.122
0.178125 0.158
0.18125 0.158
0.182031 0.142
0.182813 0.184
0.183594 0.162
0.184375 0.138
0.1875 0.138
0.188281 0.152
0.189062 0.172
0.189844 0.184
0.190625 0.18
0.191406 0.22
0.192188 0.184
0.192969 0.182
0.19375 0.182
0.194531 0.174
0.195312 0.184
0.196094 0.244
0.196875 0.188
0.197656 0.172
0.198438 0.23
0.199219 0.24
0.2 0.232
0.200781 0.214
0.201563 0.22
0.202344 0.244
0.203125 0.244
0.203906 0.26
0.204688 0.272
0.205469 0.238
0.20625 0.226
0.207031 0.258
0.207813 0.272
0.208594 0.252
0.209375 0.266
0.210156 0.268
0.210938 0.242
0.211719 0.258
0.2125 0.306
0.213281 0.282
0.214063 0.298
0.214844 0.288
0.215625 0.254
0.216406 0.314
0.217188 0.292
0.217969 0.322
0.21875 0.282
0.219531 0.296
0.220312 0.31
0.221094 0.262
0.221875 0.344
0.222656 0.3
0.223438 0.312
0.224219 0.322
0.225 0.298
0.225781 0.344
0.226562 0.338
0.227344 0.282
0.228125 0.342
0.228906 0.292
0.229688 0.348
0.230469 0.368
0.23125 0.37
0.232031 0.394
0.232813 0.35
0.233594 0.356
0.234375 0.386
0.235156 0.348
0.235937 0.37
0.236719 0.38
0.2375 0.332
0.238281 0.364
0.239062 0.366
0.239844 0.376
0.240625 0.402
0.241406 0.426
0.242188 0.408
0.242969 0.386
0.24375 0.422
0.244531 0.438
0.245312 0.39
0.246094 0.448
0.246875 0.424
0.247656 0.446
0.248438 0.456
0.249219 0.45
0.25 0.426
0.250781 0.438
0.251563 0.432
0.252344 0.446
0.253125 0.476
0.253906 0.43
0.254687 0.424
0.255469 0.436
0.25625 0.508
0.257031 0.436
0.257812 0.494
0.258594 0.442
0.259375 0.484
0.260156 0.468
0.260938 0.478
0.261719 0.516
0.2625 0.52
0.263281 0.502
0.264062 0.504
0.264844 0.516
0.265625 0.502
0.266406 0.512
0.267188 0.54
0.267969 0.502
0.26875 0.536
0.269531 0.544
0.270313 0.492
0.271094 0.566
0.271875 0.578
0.272656 0.564
0.273438 0.51
0.274219 0.566
0.275 0.57
0.275781 0.546
0.276563 0.55
0.277344 0.58
0.278125 0.582
0.278906 0.534
0.279687 0.58
0.280469 0.55
0.28125 0.546
0.282031 0.556
0.282813 0.576
0.283594 0.546
0.284375 0.606
0.285156 0.58
0.285937 0.572
0.286719 0.584
0.2875 0.594
0.288281 0.614
0.289062 0.612
0.289844 0.616
0.290625 0.598
0.291406 0.64
0.292187 0.592
0.292969 0.624
0.29375 0.62
0.294531 0.662
0.295312 0.636
0.296094 0.626
0.296875 0.596
0.297656 0.656
0.298438 0.642
0.299219 0.618
0.3 0.648
0.300781 0.652
0.301562 0.666
0.302344 0.66
0.303125 0.658
0.303906 0.63
0.304688 0.662
0.305469 0.636
0.30625 0.69
0.307031 0.634
0.307813 0.698
0.308594 0.686
0.309375 0.672
0.310156 0.7
0.310937 0.7
0.311719 0.71
0.3125 0.724
0.313281 0.712
0.314063 0.68
0.314844 0.704
0.315625 0.684
0.316406 0.684
0.317187 0.732
0.317969 0.698
0.31875 0.714
0.319531 0.68
0.320312 0.702
0.321094 0.708
0.321875 0.726
0.322656 0.698
0.323437 0.692
0.324219 0.752
0.325 0.744
0.325781 0.75
0.326562 0.764
0.327344 0.742
0.328125 0.778
0.328906 0.712
0.329687 0.754
0.330469 0.762
0.33125 0.772
0.332031 0.784
0.332812 0.746
0.333594 0.764
0.334375 0.77
0.335156 0.772
0.335938 0.782
0.336719 0.762
0.3375 0.78
0.338281 0.778
0.339062 0.794
0.339844 0.764
0.340625 0.782
0.341406 0.794
0.342187 0.792
0.342969 0.788
0.34375 0.8
0.344531 0.796
0.345313 0.784
0.346094 0.81
0.346875 0.822
0.347656 0.812
0.348437 0.84
0.349219 0.786
0.35 0.816
0.350781 0.806
0.351562 0.822
0.352344 0.796
0.353125 0.81
0.353906 0.796
0.354687 0.832
0.355469 0.786
0.35625 0.836
0.357031 0.822
0.357812 0.858
0.358594 0.84
0.359375 0.818
0.360156 0.824
0.360938 0.866
0.361719 0.808
0.3625 0.85
0.363281 0.858
0.364062 0.836
0.364844 0.84
0.365625 0.852
0.366406 0.834
0.367188 0.828
0.367969 0.836
0.36875 0.848
0.369531 0.86
0.370313 0.854
0.371094 0.842
0.371875 0.852
0.375 0.852
0.375781 0.874
0.376563 0.86
0.378125 0.86
0.378906 0.844
0.379687 0.836
0.380469 0.852
0.38125 0.88
0.382031 0.888
0.382812 0.854
0.383594 0.86
0.384375 0.874
0.385938 0.874
0.386719 0.868
0.3875 0.89
0.388281 0.86
0.389062 0.892
0.389844 0.886
0.390625 0.858
0.391406 0.924
0.392188 0.882
0.392969 0.872
0.39375 0.896
0.394531 0.888
0.395313 0.898
0.396094 0.868
0.396875 0.906
0.397656 0.934
0.398438 0.904
0.399219 0.898
0.4 0.898
0.400781 0.898
0.401563 0.906
0.402344 0.9
0.403125 0.892
0.403906 0.894
0.404687 0.908
0.405469 0.896
0.40625 0.912
0.407031 0.908
0.407813 0.892
0.408594 0.9
0.409375 0.92
0.4125 0.92
0.41875 0.92
0.419531 0.924
0.420313 0.922
0.421094 0.926
0.421875 0.926
0.425 0.926
0.425781 0.924
0.426563 0.916
0.427344 0.93
0.428125 0.944
0.428906 0.946
0.429688 0.952
