# N=10 REP=500 dy=0.1
# GRG
# midaCompConMax p
0 1
0.025 1.088
0.0375 1.172
0.04375 1.248
0.05 1.272
0.053125 1.304
0.05625 1.384
0.0625 1.42
0.065625 1.47
0.06875 1.552
0.075 1.552
0.08125 1.624
0.084375 1.702
0.0875 1.744
0.09375 1.808
0.1 1.888
0.10625 1.972
0.1125 2.048
0.11875 2.132
0.125 2.222
0.13125 2.27
0.134375 2.338
0.135156 2.394
0.135938 2.454
0.1375 2.466
0.14375 2.438
0.146875 2.53
0.15 2.59
0.153125 2.584
0.153906 2.756
0.154688 2.698
0.15625 2.724
0.159375 2.714
0.160938 2.724
0.161719 2.874
0.1625 2.846
0.16875 2.84
0.171875 2.922
0.175 2.956
0.175781 2.968
0.176563 3.084
0.178125 3.118
0.18125 3.164
0.184375 3.188
0.185938 3.208
0.1875 3.292
0.19375 3.372
0.2 3.46
0.203125 3.476
0.204688 3.466
0.205469 3.588
0.20625 3.586
0.209375 3.64
0.2125 3.72
0.215625 3.714
0.216406 3.794
0.217188 3.816
0.21875 3.838
0.220312 3.878
0.221094 3.89
0.221875 3.978
0.225 4.002
0.228125 4.01
0.229688 3.926
0.230469 4.13
0.23125 4.212
0.234375 4.142
0.235156 4.206
0.235937 4.288
0.2375 4.344
0.240625 4.386
0.24375 4.484
0.25 4.492
0.251563 4.562
0.253125 4.662
0.25625 4.6
0.257031 4.666
0.257812 4.876
0.259375 4.778
0.2625 4.762
0.263281 4.9
0.264062 4.926
0.265625 4.964
0.267188 4.922
0.267969 5.114
0.26875 5.114
0.275 5.212
0.276563 5.144
0.277344 5.438
0.278125 5.344
0.28125 5.426
0.2875 5.5
0.289062 5.52
0.289844 5.716
0.290625 5.712
0.29375 5.676
0.295312 5.716
0.296094 5.68
0.296875 5.888
0.3 5.91
0.300781 5.93
0.301562 6.012
0.303125 6.038
0.30625 6.052
0.3125 6.146
0.314063 6.198
0.315625 6.288
0.317187 6.236
0.317969 6.492
0.31875 6.444
0.321875 6.468
0.323437 6.54
0.324219 6.592
0.325 6.708
0.33125 6.754
0.332812 6.732
0.333594 6.812
0.334375 6.938
0.335156 6.736
0.335938 6.772
0.336719 7.04
0.3375 7.084
0.34375 7.17
0.346875 7.108
0.348437 7.15
0.349219 7.28
0.35 7.326
0.35625 7.348
0.359375 7.306
0.360156 7.366
0.360938 7.62
0.3625 7.588
0.363281 7.51
0.364062 7.444
0.364844 7.69
0.365625 7.722
0.36875 7.778
0.371875 7.736
0.373437 7.788
0.374219 7.816
0.375 7.99
0.38125 7.928
0.382812 8.004
0.384375 8.032
0.3875 8.122
0.39375 8.212
0.4 8.224
0.401563 8.258
0.402344 8.492
0.403125 8.446
0.40625 8.428
0.407031 8.4
0.407813 8.634
0.409375 8.63
0.4125 8.602
0.41875 8.628
0.420313 8.692
0.421094 8.74
0.421875 8.82
0.425 8.92
0.4375 8.89
0.439063 8.97
0.439844 9.006
0.440625 9.114
0.44375 9.034
0.45 9.032
0.451562 9.13
0.453125 9.176
0.45625 9.18
0.4625 9.244
0.464063 9.24
0.464844 9.242
0.465625 9.348
0.46875 9.358
0.471875 9.36
0.473437 9.33
0.474219 9.378
0.475 9.464
0.4875 9.452
0.49375 9.448
0.496875 9.536
0.5 9.616
0.5125 9.646
0.525 9.732
0.55 9.746
0.553125 9.808
0.55625 9.876
0.5625 9.85
0.575 9.894
0.6 9.948
0.7 9.99
0.8 10
0.9 10
1 10
