# N=25 REP=500 dy=0.01
# GRG
# eulerianPath p
0 1
0.0125 0.994
0.0132813 0.992
0.0140625 0.98
0.015625 0.98
0.0171875 0.978
0.01875 0.97
0.0195313 0.956
0.0203125 0.95
0.0210938 0.936
0.021875 0.934
0.0226563 0.928
0.0234375 0.876
0.0242188 0.886
0.025 0.91
0.0257813 0.896
0.0265625 0.878
0.0273438 0.864
0.028125 0.856
0.0289063 0.86
0.0296875 0.824
0.03125 0.818
0.0320312 0.772
0.0328125 0.77
0.0335938 0.762
0.034375 0.758
0.0351562 0.682
0.0359375 0.686
0.0367188 0.704
0.0375 0.626
0.0382813 0.606
0.0390625 0.674
0.0398438 0.58
0.040625 0.596
0.0414063 0.58
0.0421875 0.57
0.0429688 0.512
0.04375 0.508
0.0445313 0.508
0.0453125 0.472
0.0460938 0.496
0.046875 0.426
0.0476562 0.428
0.0484375 0.408
0.0492188 0.366
0.05 0.384
0.0507812 0.348
0.0515625 0.404
0.0523438 0.336
0.053125 0.31
0.0539063 0.312
0.0546875 0.29
0.0554687 0.268
0.05625 0.224
0.059375 0.216
0.0601562 0.202
0.0609375 0.174
0.0617188 0.196
0.0625 0.132
0.0640625 0.136
0.0648438 0.12
0.065625 0.106
0.0671875 0.112
0.0679688 0.08
0.06875 0.09
0.0703125 0.08
0.0710938 0.076
0.071875 0.066
0.0726563 0.07
0.0734375 0.038
0.0742188 0.052
0.075 0.054
0.0757813 0.06
0.0765625 0.032
0.078125 0.03
0.08125 0.02
0.0875 0.012
0.1 0.004
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0.002
0.8 0.002
0.825 0.002
0.8375 0.004
0.84375 0.006
0.85 0.016
0.875 0.02
0.8875 0.016
0.89375 0.026
0.9 0.034
0.90625 0.034
0.907813 0.03
0.908594 0.03
0.909375 0.046
0.9125 0.052
0.925 0.05
0.928125 0.05
0.928906 0.074
0.929688 0.064
0.93125 0.068
0.9375 0.068
0.94375 0.078
0.95 0.082
0.951562 0.088
0.952344 0.096
0.953125 0.102
0.95625 0.1
0.959375 0.108
0.960937 0.118
0.961719 0.126
0.9625 0.136
0.963281 0.118
0.964062 0.112
0.965625 0.114
0.966406 0.114
0.967187 0.132
0.967969 0.12
0.96875 0.15
0.975 0.152
0.975781 0.212
0.976562 0.14
0.977344 0.18
0.978125 0.162
0.98125 0.17
0.982031 0.164
0.982812 0.16
0.983594 0.172
0.984375 0.136
0.985156 0.164
0.985938 0.19
0.9875 0.198
0.99375 0.208
0.994531 0.19
0.995313 0.23
0.996094 0.23
0.996875 0.22
0.997656 0.202
0.998437 0.23
1 0.234
