# N=25 REP=500 dy=0.1
# GRG
# numCompCon p
0 25
0.00625 24.976
0.009375 24.918
0.0125 24.854
0.015625 24.768
0.01875 24.692
0.021875 24.594
0.0226563 24.536
0.0234375 24.454
0.025 24.392
0.0265625 24.34
0.028125 24.248
0.0296875 24.184
0.03125 24.086
0.0328125 24.076
0.0335938 24.036
0.034375 23.95
0.0359375 23.886
0.0367188 23.832
0.0375 23.656
0.0390625 23.56
0.040625 23.54
0.0414063 23.55
0.0421875 23.4
0.0429688 23.364
0.04375 23.258
0.0453125 23.194
0.0460938 23.014
0.046875 23.084
0.0484375 23.008
0.05 22.956
0.0507812 22.808
0.0515625 22.674
0.0523438 22.65
0.053125 22.564
0.0539063 22.616
0.0546875 22.396
0.0554687 22.318
0.05625 22.296
0.0570313 22.118
0.0578125 22.126
0.0585938 21.978
0.059375 21.994
0.0609375 21.934
0.0617188 21.718
0.0625 21.748
0.0632812 21.65
0.0640625 21.52
0.065625 21.466
0.0664062 21.228
0.0671875 21.12
0.06875 21.184
0.0695313 20.896
0.0703125 21.03
0.0710938 20.964
0.071875 20.7
0.0734375 20.64
0.0742188 20.598
0.075 20.344
0.0757813 20.292
0.0765625 20.118
0.078125 20.16
0.0789063 19.988
0.0796875 19.774
0.08125 19.81
0.0820313 19.556
0.0828125 19.506
0.0835938 19.35
0.084375 19.318
0.0851563 19.302
0.0859375 19.17
0.0867188 19.048
0.0875 18.784
0.090625 18.698
0.0914063 18.434
0.0921875 18.444
0.0929688 18.274
0.09375 18.13
0.0953125 18.122
0.0960938 17.84
0.096875 17.672
0.0984375 17.592
0.0992188 17.734
0.1 17.376
0.100781 17.428
0.101562 17.134
0.103125 17.23
0.103906 16.806
0.104688 16.832
0.10625 16.836
0.107031 16.712
0.107813 16.424
0.109375 16.404
0.110156 16.088
0.110937 16.03
0.111719 15.95
0.1125 15.916
0.113281 15.744
0.114063 15.682
0.115625 15.594
0.116406 15.352
0.117188 15.172
0.11875 15.106
0.119531 15.046
0.120312 14.828
0.121094 14.87
0.121875 14.524
0.125 14.434
0.125781 14.314
0.126562 13.782
0.128125 13.778
0.129688 13.762
0.130469 13.554
0.13125 13.544
0.132031 13.42
0.132812 13.246
0.133594 13.212
0.134375 13.368
0.135156 13.05
0.135938 12.876
0.136719 12.816
0.1375 12.61
0.138281 12.728
0.139063 12.758
0.139844 12.574
0.140625 12.254
0.141406 12.158
0.142188 12.04
0.14375 12.008
0.144531 11.892
0.145313 11.87
0.146094 11.556
0.146875 11.532
0.147656 11.596
0.148438 11.38
0.149219 11.384
0.15 11.086
0.151563 11.146
0.152344 11.072
0.153125 10.772
0.153906 10.856
0.154688 10.622
0.155469 10.628
0.15625 10.394
0.157031 10.334
0.157813 10.178
0.158594 10.202
0.159375 10.028
0.160156 10.132
0.160938 9.818
0.161719 9.808
0.1625 9.554
0.163281 9.606
0.164063 9.446
0.164844 9.522
0.165625 9.338
0.166406 9.106
0.167188 9.196
0.16875 9.126
0.169531 8.836
0.170313 8.844
0.171094 8.75
0.171875 8.69
0.172656 8.762
0.173438 8.466
0.174219 8.542
0.175 8.346
0.176563 8.32
0.177344 8.07
0.178125 8.214
0.178906 7.876
0.179688 7.952
0.18125 7.868
0.182031 7.714
0.182813 7.654
0.183594 7.428
0.184375 7.458
0.185156 7.258
0.185938 7.306
0.186719 7.26
0.1875 7.202
0.188281 7.25
0.189062 6.936
0.189844 6.768
0.190625 7.072
0.191406 6.942
0.192188 6.9
0.192969 6.676
0.19375 6.65
0.194531 6.454
0.195312 6.362
0.196875 6.442
0.197656 6.28
0.198438 6.202
0.2 6.152
0.200781 5.864
0.201563 5.86
0.202344 5.678
0.203125 5.754
0.203906 5.834
0.204688 5.546
0.20625 5.452
0.207813 5.414
0.208594 5.288
0.209375 5.31
0.210156 5.162
0.210938 5.114
0.2125 5.05
0.214063 5.056
0.214844 4.908
0.215625 4.77
0.217188 4.686
0.21875 4.648
0.220312 4.578
0.221094 4.452
0.221875 4.412
0.223438 4.336
0.224219 4.288
0.225 4.228
0.226562 4.3
0.227344 4.024
0.228125 4.052
0.229688 4.028
0.230469 3.89
0.23125 3.898
0.232031 3.728
0.232813 3.754
0.234375 3.722
0.235156 3.68
0.235937 3.576
0.236719 3.508
0.2375 3.414
0.240625 3.358
0.242188 3.268
0.242969 3.184
0.24375 3.106
0.246875 3.07
0.247656 3.106
0.248438 2.924
0.25 2.922
0.251563 2.922
0.252344 2.836
0.253125 2.718
0.25625 2.728
0.257031 2.668
0.257812 2.55
0.259375 2.53
0.2625 2.498
0.263281 2.422
0.264062 2.33
0.265625 2.396
0.267188 2.354
0.26875 2.262
0.271875 2.188
0.275 2.124
0.275781 2.042
0.276563 1.988
0.278125 1.978
0.28125 1.902
0.2875 1.818
0.290625 1.762
0.29375 1.702
0.296875 1.674
0.3 1.58
0.30625 1.512
0.3125 1.478
0.31875 1.384
0.325 1.348
0.33125 1.308
0.334375 1.23
0.3375 1.202
0.35 1.158
0.375 1.084
0.4 1.042
0.5 1.004
0.6 1
0.7 1
0.8 1
0.9 1
1 1
