# N=10 REP=500 dy=0.1
# BRG
# numCompCon p
0 10
0.0015625 9.928
0.003125 9.87
0.0046875 9.792
0.00625 9.714
0.0078125 9.64
0.009375 9.562
0.0109375 9.498
0.0125 9.44
0.0132813 9.374
0.0140625 9.312
0.015625 9.33
0.0171875 9.292
0.0179688 9.174
0.01875 9.128
0.0203125 9.104
0.021875 9.01
0.0234375 8.968
0.0242188 8.912
0.025 8.826
0.028125 8.758
0.0296875 8.716
0.03125 8.626
0.0320312 8.64
0.0328125 8.426
0.034375 8.354
0.0375 8.292
0.0390625 8.294
0.0398438 8.194
0.040625 8.15
0.04375 8.068
0.0453125 8.032
0.046875 7.954
0.0476562 7.866
0.0484375 7.756
0.05 7.752
0.0515625 7.714
0.053125 7.616
0.0546875 7.592
0.0554687 7.598
0.05625 7.46
0.0570313 7.442
0.0578125 7.566
0.0585938 7.34
0.059375 7.356
0.0625 7.27
0.0632812 7.164
0.0640625 7.156
0.065625 7.164
0.0664062 7.102
0.0671875 6.94
0.0679688 7.026
0.06875 7.044
0.0695313 6.926
0.0703125 6.804
0.071875 6.856
0.0726563 6.836
0.0734375 6.754
0.075 6.67
0.0765625 6.618
0.0773438 6.596
0.078125 6.498
0.08125 6.414
0.0828125 6.35
0.084375 6.286
0.0851563 6.26
0.0859375 6.16
0.0875 6.176
0.0890625 6.136
0.0898438 6.146
0.090625 6.02
0.0914063 5.862
0.0921875 5.886
0.09375 5.798
0.1 5.824
0.100781 5.794
0.101562 5.548
0.103125 5.602
0.104688 5.56
0.105469 5.618
0.10625 5.446
0.107813 5.464
0.108594 5.334
0.109375 5.322
0.1125 5.244
0.113281 5.206
0.114063 5.066
0.115625 5.1
0.116406 4.996
0.117188 4.978
0.11875 4.892
0.119531 4.976
0.120312 5.01
0.121875 5.046
0.122656 4.882
0.123438 4.832
0.125 4.792
0.126562 4.698
0.128125 4.676
0.13125 4.602
0.134375 4.552
0.1375 4.452
0.138281 4.328
0.139063 4.152
0.139844 4.312
0.140625 4.316
0.141406 4.166
0.142188 4.084
0.14375 4.066
0.146875 4.064
0.147656 4.094
0.148438 3.87
0.15 3.868
0.15625 3.854
0.159375 3.788
0.160938 3.698
0.161719 3.602
0.1625 3.508
0.165625 3.542
0.167188 3.562
0.167969 3.458
0.16875 3.364
0.171875 3.296
0.173438 3.372
0.174219 3.334
0.175 3.098
0.175781 3.396
0.176563 3.292
0.178125 3.252
0.179688 3.248
0.180469 3.206
0.18125 2.936
0.1875 2.878
0.190625 2.882
0.192188 2.882
0.192969 2.982
0.19375 2.768
0.2 2.764
0.20625 2.748
0.207031 2.528
0.207813 2.492
0.209375 2.528
0.2125 2.45
0.21875 2.382
0.221875 2.312
0.225 2.252
0.23125 2.168
0.2375 2.084
0.24375 2.01
0.25 1.928
0.25625 1.876
0.2625 1.786
0.26875 1.728
0.275 1.676
0.278125 1.618
0.28125 1.538
0.2875 1.572
0.3 1.478
0.3125 1.412
0.31875 1.364
0.325 1.278
0.35 1.208
0.375 1.128
0.4 1.096
0.5 1.018
0.6 1.002
0.7 1
0.8 1
0.9 1
1 1
