# N=80 REP=500 dy=0.1
# BRG
# numCompCon p
0 80
0.00078125 77.436
0.0015625 75.044
0.00234375 72.65
0.003125 70.088
0.00390625 67.732
0.0046875 65.11
0.00546875 62.644
0.00625 60.028
0.00703125 57.68
0.0078125 55.078
0.00859375 52.998
0.009375 50.598
0.0101563 48.056
0.0109375 45.92
0.0117188 43.264
0.0125 40.546
0.0132813 38.414
0.0140625 36.704
0.0148437 34.284
0.015625 32.066
0.0164063 30.094
0.0171875 28.464
0.0179688 26.402
0.01875 24.464
0.0195313 23.124
0.0203125 21.422
0.0210938 19.87
0.021875 18.406
0.0226563 17.37
0.0234375 16.256
0.0242188 15.278
0.025 14.16
0.0257813 12.992
0.0265625 12.292
0.0273438 11.638
0.028125 10.428
0.0289063 10.164
0.0296875 9.574
0.0304687 9.086
0.03125 8.532
0.0320312 7.944
0.0328125 7.486
0.0335938 6.948
0.034375 6.574
0.0351562 6.354
0.0359375 6.036
0.0367188 5.53
0.0375 5.374
0.0382813 5.022
0.0390625 4.76
0.0398438 4.436
0.040625 4.312
0.0414063 3.992
0.0421875 3.92
0.0429688 3.652
0.04375 3.546
0.0445313 3.356
0.0453125 3.12
0.0460938 3.054
0.046875 2.808
0.0476562 2.796
0.0484375 2.676
0.0492188 2.508
0.05 2.398
0.0507812 2.378
0.0515625 2.248
0.0523438 2.184
0.053125 2.146
0.0539063 2.08
0.0546875 1.934
0.05625 1.854
0.0570313 1.856
0.0578125 1.724
0.059375 1.654
0.0601562 1.672
0.0609375 1.512
0.0625 1.484
0.065625 1.394
0.0671875 1.326
0.06875 1.28
0.071875 1.204
0.075 1.168
0.08125 1.118
0.0875 1.048
0.1 1.024
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
