# N=50 REP=500 dy=0.1
# GRG
# numCompCon p
0 50
0.003125 49.968
0.0046875 49.912
0.00625 49.83
0.0078125 49.784
0.00859375 49.746
0.009375 49.668
0.0101563 49.598
0.0109375 49.458
0.0125 49.434
0.0132813 49.306
0.0140625 49.256
0.015625 49.202
0.0164063 49.026
0.0171875 48.91
0.0179688 48.756
0.01875 48.642
0.0195313 48.612
0.0203125 48.448
0.0210938 48.352
0.021875 48.144
0.0226563 48.12
0.0234375 47.946
0.0242188 47.944
0.025 47.778
0.0257813 47.624
0.0265625 47.41
0.0273438 47.31
0.028125 47.148
0.0289063 47.074
0.0296875 46.696
0.0304687 46.78
0.03125 46.508
0.0320312 46.234
0.0328125 46.132
0.0335938 45.952
0.034375 45.704
0.0351562 45.56
0.0359375 45.37
0.0367188 45.144
0.0375 45.018
0.0382813 44.85
0.0390625 44.696
0.0398438 44.428
0.040625 43.988
0.0414063 43.99
0.0421875 43.828
0.0429688 43.314
0.04375 43.114
0.0445313 42.876
0.0453125 42.73
0.0460938 42.526
0.046875 42.452
0.0476562 42.286
0.0484375 42.074
0.0492188 41.532
0.05 41.604
0.0507812 41.188
0.0515625 41.09
0.0523438 40.836
0.053125 40.432
0.0539063 40.176
0.0546875 39.978
0.0554687 39.644
0.05625 39.278
0.0570313 39.384
0.0578125 38.896
0.0585938 38.564
0.059375 38.306
0.0601562 38.198
0.0609375 37.752
0.0617188 37.64
0.0625 37.14
0.0632812 37.216
0.0640625 36.8
0.0648438 36.494
0.065625 36.128
0.0664062 35.728
0.0671875 35.338
0.0679688 35.402
0.06875 35.036
0.0695313 34.746
0.0703125 34.652
0.0710938 34.122
0.071875 33.824
0.0726563 33.634
0.0734375 33.186
0.0742188 33.214
0.075 32.928
0.0757813 32.242
0.0765625 32.01
0.0773438 31.62
0.078125 31.594
0.0789063 31.216
0.0796875 30.966
0.0804688 30.786
0.08125 30.312
0.0820313 29.92
0.0828125 29.834
0.0835938 29.576
0.084375 28.932
0.0851563 29.034
0.0859375 28.586
0.0867188 28.162
0.0875 28.028
0.0882813 27.576
0.0890625 27.172
0.0898438 26.94
0.090625 26.722
0.0914063 26.744
0.0921875 26.11
0.0929688 26.148
0.09375 25.556
0.0945312 25.252
0.0953125 25.058
0.0960938 24.8
0.096875 24.272
0.0976562 24.308
0.0984375 23.834
0.0992188 23.624
0.1 23.238
0.100781 22.892
0.101562 22.826
0.102344 22.492
0.103125 22.198
0.103906 22.046
0.104688 21.73
0.105469 21.552
0.10625 21.008
0.107031 20.878
0.107813 20.284
0.108594 20.226
0.109375 19.92
0.110156 19.714
0.110937 19.364
0.111719 19.106
0.1125 18.906
0.113281 18.572
0.114063 18.418
0.114844 18.182
0.115625 17.966
0.116406 17.682
0.117188 17.514
0.117969 17.052
0.11875 16.772
0.119531 16.618
0.120312 16.578
0.121094 16.17
0.121875 16.1
0.122656 15.84
0.123438 15.524
0.124219 14.978
0.125 14.98
0.125781 14.668
0.126562 14.396
0.127344 14.244
0.128125 13.866
0.128906 13.746
0.129688 13.344
0.130469 13.308
0.13125 13.05
0.132031 12.834
0.132812 12.608
0.133594 12.436
0.134375 12.234
0.135156 11.968
0.135938 11.808
0.136719 11.536
0.1375 11.276
0.138281 11.052
0.139063 10.89
0.139844 10.652
0.140625 10.376
0.141406 10.286
0.142188 10.13
0.142969 10.184
0.14375 9.876
0.144531 9.712
0.145313 9.428
0.146094 9.21
0.146875 9.096
0.147656 9.026
0.148438 8.848
0.149219 8.686
0.15 8.492
0.150781 8.24
0.151563 8.066
0.152344 7.982
0.153125 7.822
0.153906 7.776
0.154688 7.592
0.155469 7.41
0.15625 7.074
0.157031 7.02
0.157813 6.944
0.158594 6.816
0.159375 6.626
0.160156 6.49
0.160938 6.474
0.161719 6.36
0.1625 6.01
0.163281 5.962
0.164063 5.89
0.164844 5.99
0.165625 5.586
0.166406 5.546
0.167188 5.436
0.167969 5.322
0.16875 5.132
0.169531 5.076
0.170313 5.024
0.171094 4.822
0.171875 4.612
0.173438 4.674
0.174219 4.482
0.175 4.366
0.175781 4.342
0.176563 4.252
0.178125 4.154
0.178906 3.914
0.179688 3.928
0.180469 3.896
0.18125 3.732
0.182031 3.546
0.182813 3.626
0.183594 3.496
0.184375 3.364
0.185938 3.368
0.186719 3.282
0.1875 3.18
0.188281 3.128
0.189062 2.958
0.190625 2.968
0.191406 2.898
0.192188 2.822
0.192969 2.82
0.19375 2.688
0.195312 2.746
0.196094 2.524
0.196875 2.55
0.197656 2.502
0.198438 2.376
0.2 2.314
0.203125 2.274
0.204688 2.19
0.20625 2.1
0.207813 2.02
0.209375 1.984
0.210938 1.998
0.211719 1.936
0.2125 1.848
0.214063 1.844
0.214844 1.854
0.215625 1.734
0.21875 1.654
0.221875 1.584
0.223438 1.634
0.224219 1.518
0.225 1.436
0.2375 1.406
0.240625 1.324
0.24375 1.25
0.25 1.19
0.2625 1.108
0.275 1.066
0.3 1.034
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
