# N=60 REP=500 dy=0.01
# GRG
# eulerianPath p
0 1
0.003125 1
0.0046875 0.996
0.00546875 0.994
0.00625 0.986
0.00703125 0.974
0.0078125 0.972
0.00859375 0.93
0.009375 0.942
0.0101563 0.918
0.0109375 0.866
0.0117188 0.81
0.0125 0.786
0.0132813 0.782
0.0140625 0.716
0.0148437 0.686
0.015625 0.62
0.0164063 0.574
0.0171875 0.562
0.0179688 0.486
0.01875 0.428
0.0195313 0.412
0.0203125 0.362
0.0210938 0.278
0.021875 0.282
0.0226563 0.216
0.0234375 0.226
0.0242188 0.188
0.025 0.15
0.0257813 0.13
0.0265625 0.112
0.0273438 0.1
0.028125 0.072
0.0289063 0.056
0.0296875 0.04
0.0304687 0.044
0.03125 0.026
0.0320312 0.026
0.0328125 0.014
0.034375 0.008
0.0375 0
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
