# N=100 REP=500 dy=0.01
# GRG
# eulerianPath p
0 1
0.0015625 0.998
0.00234375 0.994
0.003125 0.984
0.00390625 0.968
0.0046875 0.968
0.00546875 0.908
0.00625 0.89
0.00703125 0.8
0.0078125 0.758
0.00859375 0.694
0.009375 0.618
0.0101563 0.544
0.0109375 0.434
0.0117188 0.4
0.0125 0.288
0.0132813 0.302
0.0140625 0.196
0.0148437 0.176
0.015625 0.112
0.0164063 0.086
0.0171875 0.046
0.0179688 0.042
0.01875 0.026
0.0203125 0.024
0.0210938 0.01
0.021875 0.006
0.025 0
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
