# N=50 REP=500 dy=0.01
# BRG
# cicle p
0 0
0.00625 0.004
0.0078125 0.014
0.009375 0.018
0.0101563 0.02
0.0109375 0.048
0.0117188 0.068
0.0125 0.062
0.0132813 0.086
0.0140625 0.074
0.0148437 0.112
0.015625 0.148
0.0164063 0.162
0.0171875 0.174
0.0179688 0.222
0.01875 0.232
0.0195313 0.272
0.0203125 0.326
0.0210938 0.364
0.021875 0.412
0.0226563 0.404
0.0234375 0.508
0.0242188 0.516
0.025 0.572
0.0257813 0.608
0.0265625 0.65
0.0273438 0.712
0.028125 0.764
0.0289063 0.798
0.0296875 0.814
0.0304687 0.848
0.03125 0.878
0.0320312 0.894
0.0328125 0.896
0.0335938 0.926
0.034375 0.936
0.0351562 0.946
0.0359375 0.95
0.0367188 0.948
0.0375 0.97
0.0382813 0.986
0.0390625 0.988
0.040625 0.994
0.04375 1
0.05 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
