# N=25 REP=500 dy=0.01
# BRG
# eulerianPath p
0 1
0.00078125 0.974
0.0015625 0.94
0.00234375 0.872
0.003125 0.77
0.00390625 0.704
0.0046875 0.61
0.00546875 0.554
0.00625 0.454
0.00703125 0.436
0.0078125 0.39
0.00859375 0.314
0.009375 0.27
0.0101563 0.236
0.0109375 0.214
0.0117188 0.174
0.0125 0.17
0.0132813 0.104
0.0140625 0.094
0.0148437 0.08
0.015625 0.08
0.0164063 0.06
0.0171875 0.064
0.0179688 0.046
0.01875 0.044
0.0195313 0.03
0.0203125 0.028
0.0210938 0.018
0.021875 0.018
0.025 0.008
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
0.95 0
0.975 0.004
0.975781 0.014
0.976562 0.016
0.978125 0.016
0.978906 0.02
0.979687 0.038
0.98125 0.028
0.982031 0.056
0.982812 0.058
0.983594 0.072
0.984375 0.074
0.985156 0.096
0.985938 0.112
0.986719 0.104
0.9875 0.126
0.988281 0.184
0.989063 0.206
0.989844 0.284
0.990625 0.284
0.991406 0.288
0.992188 0.362
0.992969 0.42
0.99375 0.458
0.994531 0.57
0.995313 0.634
0.996094 0.718
0.996875 0.776
0.997656 0.87
0.998437 0.92
0.999219 0.98
1 1
