# N=150 REP=500 dy=0.1
# BRG
# numCompCon p
0 150
0.00078125 141.116
0.0015625 132.416
0.00234375 124.084
0.003125 115.014
0.00390625 106.176
0.0046875 97.794
0.00546875 89.312
0.00625 80.366
0.00703125 72.818
0.0078125 63.544
0.00859375 56.544
0.009375 49.792
0.0101563 43.97
0.0109375 37.926
0.0117188 33.284
0.0125 28.866
0.0132813 25.81
0.0140625 22.404
0.0148437 19.77
0.015625 17.432
0.0164063 15.994
0.0171875 13.754
0.0179688 12.33
0.01875 10.876
0.0195313 9.58
0.0203125 8.62
0.0210938 7.57
0.021875 6.806
0.0226563 6.432
0.0234375 5.664
0.0242188 5.018
0.025 4.696
0.0257813 4.082
0.0265625 3.702
0.0273438 3.452
0.028125 3.226
0.0289063 3.04
0.0296875 2.718
0.0304687 2.48
0.03125 2.362
0.0320312 2.138
0.0328125 2.13
0.0335938 1.942
0.034375 1.876
0.0351562 1.664
0.0359375 1.606
0.0375 1.536
0.0382813 1.422
0.0390625 1.408
0.040625 1.338
0.0421875 1.244
0.04375 1.216
0.046875 1.13
0.05 1.07
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
