# N=60 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.0125 0.004
0.015625 0.008
0.0171875 0.018
0.01875 0.024
0.0195313 0.024
0.0203125 0.034
0.021875 0.034
0.0226563 0.032
0.0234375 0.066
0.025 0.072
0.0257813 0.082
0.0265625 0.052
0.0273438 0.11
0.028125 0.116
0.0296875 0.124
0.0304687 0.114
0.03125 0.14
0.0320312 0.21
0.0328125 0.168
0.0335938 0.18
0.034375 0.208
0.0351562 0.256
0.0359375 0.226
0.0367188 0.294
0.0375 0.276
0.0382813 0.296
0.0390625 0.368
0.0398438 0.362
0.040625 0.356
0.0414063 0.35
0.0421875 0.404
0.04375 0.414
0.0445313 0.442
0.0453125 0.488
0.0460938 0.524
0.046875 0.506
0.0476562 0.594
0.0484375 0.59
0.0492188 0.554
0.05 0.564
0.0507812 0.658
0.0515625 0.636
0.0523438 0.712
0.053125 0.702
0.0539063 0.676
0.0546875 0.74
0.0554687 0.74
0.05625 0.756
0.0570313 0.792
0.0578125 0.792
0.0585938 0.85
0.059375 0.838
0.0601562 0.828
0.0609375 0.852
0.0617188 0.862
0.0625 0.878
0.0632812 0.872
0.0640625 0.904
0.0648438 0.914
0.065625 0.914
0.0664062 0.936
0.0671875 0.934
0.06875 0.93
0.0695313 0.946
0.0703125 0.942
0.0710938 0.974
0.071875 0.962
0.0734375 0.966
0.0742188 0.986
0.075 0.99
0.08125 0.992
0.0875 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
