# N=100 REP=500 dy=0.001
# GRG
# esConnex p
0 0
0.1 0
0.1125 0
0.11875 0
0.120312 0
0.121094 0.002
0.121875 0.002
0.125 0.002
0.125781 0
0.126562 0.01
0.128125 0.01
0.128906 0.01
0.129688 0.012
0.130469 0.02
0.13125 0.02
0.132031 0.018
0.132812 0.044
0.133594 0.048
0.134375 0.034
0.135156 0.052
0.135938 0.06
0.136719 0.082
0.1375 0.08
0.138281 0.068
0.139063 0.104
0.139844 0.098
0.140625 0.14
0.141406 0.108
0.142188 0.126
0.142969 0.18
0.14375 0.18
0.144531 0.198
0.145313 0.192
0.146094 0.23
0.146875 0.216
0.147656 0.218
0.148438 0.28
0.149219 0.288
0.15 0.314
0.150781 0.332
0.151563 0.316
0.152344 0.326
0.153125 0.358
0.153906 0.404
0.154688 0.388
0.155469 0.434
0.15625 0.438
0.157031 0.428
0.157813 0.426
0.158594 0.488
0.159375 0.452
0.160156 0.522
0.160938 0.542
0.161719 0.544
0.1625 0.554
0.163281 0.578
0.164063 0.598
0.164844 0.584
0.165625 0.628
0.166406 0.596
0.167188 0.64
0.167969 0.66
0.16875 0.652
0.169531 0.666
0.170313 0.692
0.171094 0.73
0.171875 0.718
0.172656 0.752
0.173438 0.704
0.174219 0.756
0.175 0.74
0.175781 0.738
0.176563 0.776
0.177344 0.784
0.178125 0.792
0.178906 0.812
0.179688 0.782
0.180469 0.792
0.18125 0.828
0.182031 0.816
0.182813 0.812
0.183594 0.81
0.184375 0.846
0.185156 0.862
0.185938 0.85
0.186719 0.876
0.1875 0.862
0.188281 0.876
0.189062 0.874
0.189844 0.86
0.190625 0.892
0.191406 0.86
0.192188 0.88
0.192969 0.9
0.19375 0.908
0.194531 0.862
0.195312 0.91
0.196875 0.91
0.197656 0.912
0.198438 0.958
0.199219 0.944
0.2 0.954
0.20625 0.954
0.207031 0.952
0.207813 0.946
0.208594 0.956
0.209375 0.964
0.210156 0.966
0.210938 0.974
0.211719 0.968
0.2125 0.946
0.213281 0.966
0.214063 0.958
0.214844 0.968
0.215625 0.968
0.216406 0.958
0.217188 0.97
0.217969 0.972
0.21875 0.984
0.219531 0.978
0.220312 0.974
0.221094 0.968
0.221875 0.978
0.222656 0.982
0.223438 0.97
0.224219 0.978
0.225 0.976
0.225781 0.978
0.226562 0.984
0.227344 0.98
0.228125 0.98
0.228906 0.984
0.229688 0.982
0.230469 0.966
0.23125 0.984
0.232031 0.98
0.232813 0.988
0.233594 0.986
0.234375 0.98
0.235156 0.988
0.235937 0.994
0.2375 0.994
0.25 0.994
0.250781 0.998
0.251563 0.996
0.253125 0.996
0.25625 0.996
0.2625 0.996
0.263281 0.996
0.264062 0.998
0.264844 0.992
0.265625 1
0.26875 1
0.269531 0.998
0.270313 0.994
0.271094 0.998
0.271875 0.996
0.272656 1
0.273438 0.998
0.275 0.998
0.28125 0.998
0.284375 0.998
0.285156 0.998
0.285937 0.996
0.286719 1
0.2875 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
