# N=10 REP=500 dy=0.001
# GRG
# esConnex p
0 0
0.1 0
0.15 0
0.175 0
0.1875 0
0.19375 0
0.196875 0
0.198438 0
0.199219 0
0.2 0.002
0.20625 0.002
0.207031 0
0.207813 0
0.209375 0
0.2125 0
0.225 0
0.25 0
0.250781 0.002
0.251563 0.002
0.252344 0.004
0.253125 0.006
0.25625 0.006
0.257031 0.006
0.257812 0.012
0.258594 0.004
0.259375 0.008
0.2625 0.008
0.264062 0.008
0.264844 0.008
0.265625 0.006
0.266406 0.01
0.267188 0.008
0.267969 0.01
0.26875 0.01
0.270313 0.01
0.271094 0.006
0.271875 0.012
0.273438 0.012
0.274219 0.014
0.275 0.014
0.275781 0.006
0.276563 0.02
0.278125 0.02
0.279687 0.02
0.280469 0.02
0.28125 0.016
0.282813 0.016
0.283594 0.026
0.284375 0.018
0.285156 0.028
0.285937 0.026
0.286719 0.032
0.2875 0.036
0.288281 0.026
0.289062 0.034
0.289844 0.022
0.290625 0.024
0.292187 0.024
0.292969 0.028
0.29375 0.028
0.296875 0.028
0.297656 0.054
0.298438 0.032
0.299219 0.036
0.3 0.052
0.300781 0.038
0.301562 0.04
0.302344 0.052
0.303125 0.046
0.304688 0.046
0.305469 0.052
0.30625 0.06
0.307813 0.06
0.308594 0.056
0.309375 0.056
0.310156 0.058
0.310937 0.05
0.311719 0.062
0.3125 0.074
0.313281 0.064
0.314063 0.072
0.314844 0.092
0.315625 0.066
0.316406 0.08
0.317187 0.082
0.317969 0.068
0.31875 0.094
0.319531 0.066
0.320312 0.088
0.321094 0.09
0.321875 0.064
0.322656 0.088
0.323437 0.1
0.324219 0.092
0.325 0.088
0.325781 0.086
0.326562 0.07
0.327344 0.112
0.328125 0.126
0.33125 0.126
0.332031 0.078
0.332812 0.12
0.333594 0.114
0.334375 0.114
0.335156 0.088
0.335938 0.134
0.336719 0.104
0.3375 0.14
0.338281 0.138
0.339062 0.126
0.339844 0.132
0.340625 0.158
0.341406 0.116
0.342187 0.156
0.342969 0.116
0.34375 0.16
0.344531 0.142
0.345313 0.164
0.346094 0.15
0.346875 0.134
0.347656 0.18
0.348437 0.154
0.349219 0.168
0.35 0.174
0.350781 0.178
0.351562 0.172
0.353125 0.172
0.353906 0.196
0.354687 0.184
0.355469 0.206
0.35625 0.198
0.357031 0.196
0.357812 0.2
0.358594 0.2
0.359375 0.214
0.360156 0.204
0.360938 0.204
0.361719 0.194
0.3625 0.208
0.363281 0.236
0.364062 0.2
0.364844 0.244
0.365625 0.224
0.366406 0.198
0.367188 0.26
0.367969 0.232
0.36875 0.23
0.369531 0.26
0.370313 0.234
0.371094 0.284
0.371875 0.28
0.372656 0.264
0.373437 0.266
0.374219 0.258
0.375 0.256
0.375781 0.266
0.376563 0.282
0.377344 0.26
0.378125 0.276
0.378906 0.31
0.379687 0.282
0.380469 0.282
