# N=10 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.00625 0.996
0.009375 0.99
0.0109375 0.988
0.0117188 0.986
0.0125 0.972
0.015625 0.97
0.0171875 0.972
0.0179688 0.958
0.01875 0.948
0.0195313 0.942
0.0203125 0.934
0.021875 0.936
0.025 0.93
0.0257813 0.934
0.0265625 0.914
0.0273438 0.892
0.028125 0.9
0.0289063 0.892
0.0296875 0.882
0.03125 0.874
0.0328125 0.872
0.0335938 0.848
0.034375 0.842
0.0359375 0.84
0.0367188 0.854
0.0375 0.818
0.0390625 0.822
0.0398438 0.79
0.040625 0.778
0.0414063 0.824
0.0421875 0.8
0.0429688 0.782
0.04375 0.762
0.0445313 0.734
0.0453125 0.742
0.0460938 0.744
0.046875 0.708
0.05 0.7
0.053125 0.7
0.0539063 0.674
0.0546875 0.674
0.0554687 0.638
0.05625 0.658
0.0570313 0.642
0.0578125 0.64
0.0585938 0.662
0.059375 0.616
0.0625 0.618
0.0632812 0.556
0.0640625 0.564
0.0648438 0.538
0.065625 0.584
0.0664062 0.548
0.0671875 0.564
0.0679688 0.582
0.06875 0.542
0.0695313 0.476
0.0703125 0.512
0.0710938 0.496
0.071875 0.526
0.0726563 0.486
0.0734375 0.502
0.0742188 0.49
0.075 0.482
0.0757813 0.458
0.0765625 0.468
0.078125 0.472
0.0789063 0.408
0.0796875 0.42
0.0804688 0.444
0.08125 0.45
0.0820313 0.438
0.0828125 0.376
0.0835938 0.404
0.084375 0.486
0.0851563 0.384
0.0859375 0.364
0.0867188 0.354
0.0875 0.39
0.0882813 0.374
0.0890625 0.338
0.0898438 0.282
0.090625 0.354
0.0921875 0.354
0.0929688 0.314
0.09375 0.316
0.0945312 0.274
0.0953125 0.326
0.0960938 0.29
0.096875 0.336
0.0976562 0.288
0.0984375 0.292
0.1 0.292
0.100781 0.238
0.101562 0.25
0.103125 0.258
0.103906 0.226
0.104688 0.278
0.105469 0.24
0.10625 0.228
0.109375 0.226
0.110156 0.232
0.110937 0.26
0.111719 0.188
0.1125 0.19
0.114063 0.194
0.115625 0.2
0.117188 0.196
0.117969 0.184
0.11875 0.172
0.119531 0.15
0.120312 0.156
0.121875 0.16
0.122656 0.146
0.123438 0.148
0.125 0.138
0.13125 0.148
0.132031 0.128
0.132812 0.096
0.133594 0.112
0.134375 0.12
0.135156 0.106
0.135938 0.1
0.1375 0.094
0.14375 0.1
0.145313 0.098
0.146094 0.092
0.146875 0.088
0.147656 0.088
0.148438 0.076
0.15 0.07
0.1625 0.062
0.163281 0.052
0.164063 0.036
0.165625 0.03
0.16875 0.022
0.169531 0.04
0.170313 0.054
0.171094 0.03
0.171875 0.032
0.175 0.038
0.18125 0.032
0.184375 0.034
0.185156 0.03
0.185938 0.046
0.186719 0.02
0.1875 0.016
0.2 0.016
0.225 0.006
0.25 0.002
0.3 0
0.4 0.002
0.5 0.002
0.6 0.004
0.7 0.002
0.8 0
0.9 0
1 0
