# N=150 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.00625 0.004
0.009375 0.014
0.0101563 0.042
0.0109375 0.044
0.0117188 0.062
0.0125 0.066
0.0132813 0.118
0.0140625 0.094
0.0148437 0.12
0.015625 0.156
0.0164063 0.206
0.0171875 0.202
0.0179688 0.264
0.01875 0.288
0.0195313 0.35
0.0203125 0.362
0.0210938 0.452
0.021875 0.454
0.0226563 0.536
0.0234375 0.56
0.0242188 0.606
0.025 0.636
0.0257813 0.672
0.0265625 0.76
0.0273438 0.772
0.028125 0.82
0.0289063 0.834
0.0296875 0.864
0.0304687 0.892
0.03125 0.892
0.0320312 0.916
0.0328125 0.938
0.0335938 0.946
0.034375 0.966
0.0359375 0.972
0.0367188 0.992
0.0375 0.99
0.040625 0.998
0.04375 1
0.05 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
