# N=25 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.05 0
0.0625 0
0.0632812 0.004
0.0640625 0.006
0.0648438 0.004
0.065625 0.004
0.06875 0.004
0.0695313 0.01
0.0703125 0.012
0.071875 0.012
0.0726563 0.008
0.0734375 0.01
0.0742188 0.008
0.075 0.016
0.0757813 0.018
0.0765625 0.028
0.0773438 0.014
0.078125 0.03
0.0789063 0.022
0.0796875 0.028
0.0804688 0.016
0.08125 0.032
0.0820313 0.024
0.0828125 0.034
0.0835938 0.024
0.084375 0.044
0.0851563 0.062
0.0859375 0.052
0.0867188 0.028
0.0875 0.056
0.0882813 0.056
0.0890625 0.04
0.0898438 0.06
0.090625 0.038
0.0914063 0.064
0.0921875 0.07
0.0929688 0.074
0.09375 0.082
0.0945312 0.08
0.0953125 0.078
0.0960938 0.108
0.096875 0.128
0.0976562 0.106
0.0984375 0.126
0.0992188 0.098
0.1 0.106
0.100781 0.152
0.101562 0.126
0.102344 0.15
0.103125 0.134
0.103906 0.158
0.104688 0.168
0.105469 0.182
0.10625 0.174
0.107031 0.162
0.107813 0.188
0.108594 0.18
0.109375 0.226
0.110156 0.208
0.110937 0.222
0.111719 0.228
0.1125 0.192
0.113281 0.24
0.114063 0.216
0.114844 0.27
0.115625 0.224
0.116406 0.268
0.117188 0.28
0.117969 0.254
0.11875 0.312
0.119531 0.292
0.120312 0.294
0.121094 0.298
0.121875 0.33
0.122656 0.306
0.123438 0.312
0.124219 0.31
0.125 0.354
0.125781 0.348
0.126562 0.408
0.127344 0.358
0.128125 0.348
0.128906 0.394
0.129688 0.398
0.130469 0.37
0.13125 0.458
0.132031 0.43
0.132812 0.444
0.133594 0.426
0.134375 0.456
0.135156 0.454
0.135938 0.436
0.136719 0.486
0.1375 0.518
0.138281 0.446
0.139063 0.476
0.139844 0.494
0.140625 0.51
0.141406 0.562
0.142188 0.52
0.142969 0.53
0.14375 0.538
0.144531 0.54
0.145313 0.564
0.146094 0.54
0.146875 0.572
0.147656 0.596
0.148438 0.582
0.149219 0.576
0.15 0.616
0.150781 0.618
0.151563 0.622
0.152344 0.606
0.153125 0.64
0.153906 0.638
0.154688 0.626
0.155469 0.65
0.15625 0.668
0.157031 0.638
0.157813 0.676
0.158594 0.674
0.159375 0.654
0.160156 0.662
0.160938 0.682
0.161719 0.676
0.1625 0.708
0.163281 0.644
0.164063 0.72
0.164844 0.664
0.165625 0.742
0.166406 0.718
0.167188 0.708
0.167969 0.732
0.16875 0.736
0.169531 0.768
0.170313 0.738
0.171094 0.784
0.171875 0.76
0.172656 0.752
0.173438 0.772
0.174219 0.754
0.175 0.774
0.175781 0.782
0.176563 0.786
0.177344 0.818
0.178125 0.81
0.178906 0.822
0.179688 0.808
0.180469 0.82
0.18125 0.83
0.182031 0.82
0.182813 0.802
0.183594 0.796
0.184375 0.832
0.185156 0.804
0.185938 0.812
0.186719 0.848
0.1875 0.836
0.188281 0.862
0.189062 0.866
0.189844 0.836
0.190625 0.87
0.191406 0.86
0.192188 0.852
0.192969 0.852
0.19375 0.886
0.194531 0.868
0.195312 0.888
0.196094 0.886
0.196875 0.868
0.197656 0.892
0.198438 0.866
0.2 0.866
0.200781 0.892
0.201563 0.882
0.202344 0.904
0.203125 0.9
0.20625 0.9
0.2125 0.9
0.213281 0.93
0.214063 0.932
0.214844 0.948
0.215625 0.924
0.21875 0.924
0.219531 0.936
0.220312 0.948
0.221094 0.948
0.221875 0.932
0.222656 0.944
0.223438 0.926
0.224219 0.942
0.225 0.936
0.225781 0.962
0.226562 0.958
0.227344 0.946
0.228125 0.948
0.228906 0.954
0.229688 0.95
0.230469 0.96
0.23125 0.972
0.232031 0.962
0.232813 0.962
0.233594 0.962
0.234375 0.95
0.235156 0.964
0.235937 0.968
0.236719 0.956
0.2375 0.978
0.238281 0.972
0.239062 0.962
0.239844 0.964
0.240625 0.96
0.241406 0.972
0.242188 0.956
0.242969 0.976
0.24375 0.964
0.244531 0.968
0.245312 0.978
0.246094 0.964
0.246875 0.96
0.247656 0.972
0.248438 0.98
0.249219 0.98
0.25 0.972
0.250781 0.988
0.251563 0.984
0.252344 0.982
0.253125 0.974
0.25625 0.974
0.257031 0.982
0.257812 0.986
0.258594 0.986
0.259375 0.992
0.260156 0.986
0.260938 0.974
0.261719 0.982
0.2625 0.984
0.263281 0.988
0.264062 0.99
0.264844 0.994
0.265625 0.974
0.266406 0.994
0.267188 0.988
0.267969 0.992
0.26875 0.996
0.269531 0.986
0.270313 0.984
0.271094 0.986
0.271875 0.992
0.272656 0.992
0.273438 0.984
0.274219 0.996
0.275 0.99
0.275781 0.984
0.276563 0.986
0.277344 0.988
0.278125 0.988
0.278906 1
0.279687 0.984
0.280469 0.988
0.28125 0.994
0.282031 0.994
0.282813 0.988
0.283594 0.988
0.284375 0.992
0.285937 0.992
0.286719 0.994
0.2875 0.988
0.288281 0.992
0.289062 0.992
0.289844 0.99
0.290625 0.996
0.291406 0.992
0.292187 0.99
0.292969 0.992
0.29375 0.998
0.296875 0.998
0.297656 0.998
0.298438 0.99
0.299219 0.998
0.3 0.996
0.325 0.996
0.33125 0.996
0.334375 0.996
0.335156 0.998
0.335938 1
0.3375 1
0.340625 1
0.342187 1
0.342969 0.996
0.34375 0.998
0.35 0.998
0.350781 1
0.351562 1
0.353125 1
0.35625 1
0.3625 1
0.375 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
