# N=100 REP=500 dy=0.1
# GRG
# midaCompConMax p
0 1
0.0015625 1.034
0.00234375 1.09
0.003125 1.142
0.00390625 1.232
0.0046875 1.29
0.00546875 1.398
0.00625 1.464
0.00703125 1.566
0.0078125 1.598
0.00859375 1.686
0.009375 1.806
0.0101563 1.852
0.0109375 1.91
0.0125 1.994
0.0140625 2.05
0.0148437 2.092
0.015625 2.156
0.0171875 2.21
0.01875 2.266
0.0203125 2.34
0.0210938 2.454
0.021875 2.456
0.0226563 2.518
0.0234375 2.594
0.025 2.68
0.0257813 2.74
0.0265625 2.884
0.028125 2.938
0.0289063 3.038
0.0296875 3.092
0.0304687 3.194
0.03125 3.26
0.0328125 3.348
0.0335938 3.516
0.034375 3.526
0.0359375 3.564
0.0367188 3.786
0.0375 3.752
0.0382813 3.818
0.0390625 4.01
0.0398438 4.07
0.040625 4.202
0.0414063 4.226
0.0421875 4.324
0.0429688 4.34
0.04375 4.5
0.0445313 4.702
0.0453125 4.68
0.0460938 4.776
0.046875 4.844
0.0476562 4.942
0.0484375 5.064
0.0492188 5.372
0.05 5.404
0.0507812 5.428
0.0515625 5.618
0.0523438 5.766
0.053125 5.828
0.0539063 5.992
0.0546875 6.128
0.0554687 6.346
0.05625 6.46
0.0570313 6.488
0.0578125 6.734
0.0585938 6.85
0.059375 7.232
0.0609375 7.318
0.0617188 7.55
0.0625 7.91
0.0632812 7.93
0.0640625 8.236
0.0648438 8.2
0.065625 8.562
0.0664062 8.986
0.0671875 8.962
0.0679688 9.22
0.06875 9.598
0.0695313 9.724
0.0703125 9.802
0.0710938 10.252
0.071875 10.38
0.0726563 10.97
0.0734375 11.02
0.0742188 11.428
0.075 11.52
0.0757813 12.46
0.0765625 12.412
0.0773438 12.808
0.078125 13.33
0.0789063 13.644
0.0796875 13.568
0.0804688 14.022
0.08125 14.972
0.0820313 14.728
0.0828125 15.494
0.0835938 15.8
0.084375 16.3
0.0851563 16.958
0.0859375 17.364
0.0867188 18.344
0.0875 18.29
0.0882813 19.2
0.0890625 19.55
0.0898438 20.026
0.090625 20.782
0.0914063 21.262
0.0921875 22.12
0.0929688 22.578
0.09375 23.144
0.0945312 23.862
0.0953125 24.994
0.0960938 25.524
0.096875 26.698
0.0976562 27.684
0.0984375 27.96
0.0992188 29.234
0.1 29.594
0.100781 32.014
0.101562 31.81
0.102344 33.046
0.103125 33.618
0.103906 34.396
0.104688 34.936
0.105469 37.326
0.10625 39.482
0.107031 39.498
0.107813 40.728
0.108594 41.536
0.109375 43.576
0.110156 43.856
0.110937 47.198
0.111719 45.686
0.1125 49.104
0.113281 50.83
0.114063 50.582
0.114844 52.188
0.115625 55.698
0.116406 55.67
0.117188 56.978
0.117969 58.314
0.11875 60.924
0.119531 62.672
0.120312 65.338
0.121094 64.11
0.121875 68.082
0.122656 66.68
0.123438 67.9
0.124219 69.494
0.125 70.598
0.125781 72.446
0.126562 72.13
0.127344 75.048
0.128125 76.124
0.128906 77.704
0.129688 79.716
0.130469 78.854
0.13125 79.514
0.132031 80.686
0.132812 82.288
0.133594 82.842
0.134375 83.212
0.135156 85.318
0.135938 85.68
0.136719 87.014
0.1375 86.872
0.138281 87.86
0.139063 88.812
0.139844 90.188
0.140625 89.368
0.141406 90.198
0.142188 90.684
0.142969 91.654
0.14375 91.88
0.144531 92.14
0.145313 93.248
0.146094 92.994
0.146875 94.064
0.147656 93.948
0.148438 93.874
0.149219 95.074
0.15 94.858
0.150781 95.38
0.151563 95.892
0.152344 96.102
0.153125 96.23
0.153906 96.366
0.154688 96.776
0.155469 96.802
0.15625 97.074
0.157031 97.278
0.157813 97.52
0.158594 97.742
0.159375 98.184
0.1625 98.226
0.163281 97.956
0.164063 98.43
0.165625 98.48
0.167188 98.51
0.167969 98.976
0.16875 98.898
0.170313 98.864
0.171094 98.962
0.171875 99.254
0.175 99.156
0.175781 99.346
0.176563 99.314
0.177344 99.398
0.178125 99.426
0.18125 99.446
0.182813 99.458
0.183594 99.626
0.184375 99.592
0.1875 99.674
0.19375 99.774
0.2 99.822
0.20625 99.906
0.2125 99.942
0.225 99.958
0.25 99.994
0.3 100
0.4 100
0.5 100
0.6 100
0.7 100
0.8 100
0.9 100
1 100
