# N=80 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.00078125 0.994
0.0015625 0.978
0.00234375 0.956
0.003125 0.912
0.00390625 0.876
0.0046875 0.82
0.00546875 0.716
0.00625 0.736
0.00703125 0.622
0.0078125 0.542
0.00859375 0.458
0.009375 0.422
0.0101563 0.398
0.0109375 0.304
0.0117188 0.26
0.0125 0.22
0.0132813 0.174
0.0140625 0.158
0.0148437 0.116
0.015625 0.09
0.0164063 0.074
0.0171875 0.068
0.0179688 0.05
0.01875 0.028
0.0195313 0.02
0.0203125 0.016
0.021875 0.01
0.025 0.002
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
