# N=50 REP=500 dy=0.01
# GRG
# eulerianPath p
0 1
0.00625 0.994
0.00703125 0.98
0.0078125 0.976
0.00859375 0.97
0.009375 0.956
0.0101563 0.948
0.0109375 0.93
0.0117188 0.896
0.0125 0.884
0.0132813 0.866
0.0140625 0.816
0.0148437 0.8
0.015625 0.764
0.0164063 0.792
0.0171875 0.71
0.0179688 0.68
0.01875 0.634
0.0195313 0.602
0.0203125 0.588
0.0210938 0.482
0.021875 0.462
0.0226563 0.444
0.0234375 0.412
0.0242188 0.358
0.025 0.324
0.0257813 0.314
0.0265625 0.252
0.0273438 0.288
0.028125 0.216
0.0289063 0.212
0.0296875 0.168
0.0304687 0.162
0.03125 0.114
0.0320312 0.106
0.0328125 0.102
0.0335938 0.06
0.034375 0.084
0.0351562 0.07
0.0359375 0.04
0.0375 0.034
0.0382813 0.042
0.0390625 0.022
0.040625 0.012
0.04375 0.01
0.05 0.002
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
