# N=100 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.00625 0
0.009375 0.008
0.0109375 0.004
0.0117188 0.016
0.0125 0.02
0.0132813 0.02
0.0140625 0.034
0.0148437 0.048
0.015625 0.056
0.0164063 0.042
0.0171875 0.096
0.0179688 0.086
0.01875 0.112
0.0195313 0.138
0.0203125 0.142
0.0210938 0.16
0.021875 0.158
0.0226563 0.186
0.0234375 0.214
0.0242188 0.242
0.025 0.256
0.0257813 0.338
0.0265625 0.376
0.0273438 0.354
0.028125 0.404
0.0289063 0.384
0.0296875 0.472
0.0304687 0.46
0.03125 0.554
0.0320312 0.528
0.0328125 0.602
0.0335938 0.672
0.034375 0.678
0.0359375 0.688
0.0367188 0.744
0.0375 0.758
0.0382813 0.766
0.0390625 0.818
0.0398438 0.848
0.040625 0.848
0.0414063 0.854
0.0421875 0.862
0.0429688 0.888
0.04375 0.918
0.0445313 0.942
0.0453125 0.95
0.046875 0.956
0.0476562 0.972
0.0484375 0.984
0.05 0.976
0.0507812 0.988
0.0515625 0.986
0.053125 0.994
0.05625 1
0.0625 1
0.075 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
