# N=60 REP=500 dy=0.001
# GRG
# esConnex p
0 0
0.1 0
0.15 0
0.150781 0.004
0.151563 0.002
0.152344 0.002
0.153125 0.006
0.153906 0.002
0.154688 0
0.155469 0.006
0.15625 0.004
0.157031 0.012
0.157813 0.012
0.158594 0.008
0.159375 0.01
0.160156 0.006
0.160938 0.022
0.161719 0.018
0.1625 0.024
0.163281 0.03
0.164063 0.018
0.164844 0.024
0.165625 0.04
0.166406 0.042
0.167188 0.036
0.167969 0.066
0.16875 0.06
0.169531 0.066
0.170313 0.068
0.171094 0.074
0.171875 0.076
0.172656 0.092
0.173438 0.096
0.174219 0.08
0.175 0.104
0.175781 0.126
0.176563 0.132
0.177344 0.154
0.178125 0.146
0.178906 0.138
0.179688 0.14
0.180469 0.176
0.18125 0.172
0.182031 0.188
0.182813 0.242
0.183594 0.21
0.184375 0.214
0.185156 0.266
0.185938 0.272
0.186719 0.292
0.1875 0.29
0.188281 0.306
0.189062 0.338
0.189844 0.33
0.190625 0.316
0.191406 0.376
0.192188 0.372
0.192969 0.372
0.19375 0.374
0.194531 0.388
0.195312 0.408
0.196094 0.41
0.196875 0.45
0.197656 0.444
0.198438 0.434
0.199219 0.494
0.2 0.448
0.200781 0.488
0.201563 0.508
0.202344 0.56
0.203125 0.54
0.203906 0.544
0.204688 0.524
0.205469 0.552
0.20625 0.562
0.207031 0.542
0.207813 0.57
0.208594 0.604
0.209375 0.616
0.210156 0.626
0.210938 0.672
0.211719 0.664
0.2125 0.642
0.213281 0.664
0.214063 0.686
0.214844 0.666
0.215625 0.658
0.216406 0.688
0.217188 0.694
0.217969 0.694
0.21875 0.682
0.219531 0.722
0.220312 0.718
0.221094 0.726
0.221875 0.76
0.222656 0.744
0.223438 0.752
0.224219 0.768
0.225 0.788
0.225781 0.766
0.226562 0.81
0.227344 0.818
0.228125 0.804
0.228906 0.804
0.229688 0.812
0.230469 0.798
0.23125 0.83
0.234375 0.83
0.235156 0.862
0.235937 0.82
0.236719 0.85
0.2375 0.848
0.238281 0.852
0.239062 0.864
0.239844 0.872
0.240625 0.854
0.241406 0.872
0.242188 0.87
0.242969 0.87
0.24375 0.92
0.244531 0.874
0.245312 0.904
0.246094 0.918
0.246875 0.902
0.247656 0.946
0.248438 0.894
0.249219 0.922
0.25 0.926
0.253125 0.926
0.253906 0.912
0.254687 0.94
0.255469 0.936
0.25625 0.928
0.259375 0.928
0.260156 0.948
0.260938 0.934
0.261719 0.954
0.2625 0.952
0.263281 0.976
0.264062 0.956
0.264844 0.948
0.265625 0.958
0.26875 0.958
0.269531 0.962
0.270313 0.966
0.271875 0.966
0.272656 0.964
0.273438 0.954
0.274219 0.966
0.275 0.962
0.275781 0.96
0.276563 0.956
0.277344 0.982
0.278125 0.966
0.278906 0.978
0.279687 0.982
0.280469 0.974
0.28125 0.96
0.282031 0.97
0.282813 0.98
0.283594 0.974
0.284375 0.988
0.285156 0.978
0.285937 0.976
0.286719 0.976
0.2875 0.978
0.290625 0.978
0.291406 0.986
0.292187 0.974
0.292969 0.978
0.29375 0.968
0.294531 0.982
0.295312 0.978
0.296094 0.982
0.296875 0.984
0.3 0.984
0.3125 0.984
0.313281 0.994
0.314063 0.992
0.314844 0.996
0.315625 0.996
0.317187 0.996
0.317969 0.992
0.31875 0.988
0.319531 0.992
0.320312 0.992
0.321094 0.996
0.321875 0.998
0.323437 0.998
0.324219 0.99
0.325 0.996
0.3375 0.996
0.338281 0.996
0.339062 1
0.339844 0.998
0.340625 0.998
0.342187 0.998
0.342969 0.996
0.34375 1
0.344531 1
0.345313 0.996
0.346094 1
0.346875 0.998
0.35 0.998
0.350781 0.996
0.351562 1
0.353125 1
0.35625 1
0.3625 1
0.375 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
