# N=80 REP=500 dy=0.1
# GRG
# midaCompConMax p
0 1
0.0015625 1.022
0.003125 1.11
0.00390625 1.136
0.0046875 1.216
0.00546875 1.254
0.00625 1.348
0.0078125 1.424
0.00859375 1.526
0.009375 1.562
0.0101563 1.658
0.0109375 1.71
0.0117188 1.788
0.0125 1.838
0.0140625 1.922
0.015625 1.968
0.0164063 2.062
0.0171875 2.078
0.01875 2.14
0.0203125 2.18
0.021875 2.28
0.0234375 2.324
0.0242188 2.39
0.025 2.432
0.0257813 2.53
0.0265625 2.566
0.028125 2.634
0.0296875 2.728
0.03125 2.77
0.0320312 2.886
0.0328125 2.936
0.034375 3.034
0.0351562 3.072
0.0359375 3.198
0.0375 3.288
0.0382813 3.32
0.0390625 3.438
0.0398438 3.5
0.040625 3.55
0.0421875 3.624
0.0429688 3.708
0.04375 3.9
0.0453125 3.91
0.0460938 3.966
0.046875 4.124
0.0476562 4.174
0.0484375 4.24
0.0492188 4.426
0.05 4.412
0.0507812 4.48
0.0515625 4.532
0.0523438 4.76
0.053125 4.728
0.0539063 4.932
0.0546875 5.074
0.05625 5.07
0.0570313 5.29
0.0578125 5.376
0.0585938 5.458
0.059375 5.502
0.0601562 5.72
0.0609375 5.752
0.0617188 5.874
0.0625 5.988
0.0632812 6.01
0.0640625 6.268
0.0648438 6.362
0.065625 6.666
0.0664062 6.592
0.0671875 6.868
0.06875 6.964
0.0695313 7.052
0.0703125 7.47
0.0710938 7.41
0.071875 7.59
0.0726563 7.836
0.0734375 8.276
0.075 8.216
0.0757813 8.742
0.0765625 8.668
0.0773438 8.982
0.078125 9.058
0.0789063 9.092
0.0796875 9.492
0.0804688 9.722
0.08125 10.2
0.0820313 10.222
0.0828125 10.452
0.0835938 10.62
0.084375 10.88
0.0851563 10.738
0.0859375 11.388
0.0867188 11.718
0.0875 12.282
0.0882813 12.17
0.0890625 12.592
0.0898438 13.1
0.090625 13.032
0.0914063 13.69
0.0921875 13.902
0.0929688 14.146
0.09375 14.678
0.0945312 14.732
0.0953125 15.144
0.0960938 15.796
0.096875 15.538
0.0976562 16.592
0.0984375 16.868
0.0992188 17.28
0.1 17.528
0.100781 18.566
0.101562 18.572
0.102344 19.22
0.103125 19.66
0.103906 20.248
0.104688 20.53
0.105469 21.126
0.10625 21.38
0.107031 21.888
0.107813 22.688
0.108594 23.234
0.109375 24.282
0.110156 24.142
0.110937 26.598
0.111719 25.72
0.1125 27.008
0.113281 28.192
0.114063 28.088
0.114844 28.544
0.115625 29.206
0.116406 31.432
0.117188 30.852
0.117969 32.184
0.11875 33.198
0.119531 34.494
0.120312 34.354
0.121094 36.242
0.121875 35.96
0.122656 37.122
0.123438 38.828
0.124219 39.064
0.125 40.426
0.125781 40.698
0.126562 42.178
0.127344 42.848
0.128125 43.442
0.128906 45.022
0.129688 45.64
0.130469 46.606
0.13125 49.132
0.132031 49.488
0.132812 48.338
0.133594 50.37
0.134375 49.892
0.135156 53.35
0.135938 52.872
0.136719 53.588
0.1375 54.326
0.138281 56.208
0.139063 57.266
0.139844 57.384
0.140625 58.562
0.141406 59.24
0.142188 60.234
0.142969 59.842
0.14375 60.706
0.144531 63.452
0.145313 62.812
0.146094 64.49
0.146875 64.662
0.147656 65.878
0.148438 66.688
0.149219 66.474
0.15 66.454
0.150781 67.374
0.151563 66.252
0.152344 68.814
0.153125 69.644
0.153906 69.022
0.154688 70.486
0.155469 71.074
0.15625 70.792
0.157031 71.44
0.157813 72.194
0.158594 72.844
0.159375 73.106
0.1625 73.18
0.163281 73.974
0.164063 74.692
0.164844 74.546
0.165625 75.964
0.166406 74.99
0.167188 75.502
0.167969 75.796
0.16875 75.052
0.169531 76.12
0.170313 76.258
0.171094 76.258
0.171875 76.954
0.172656 76.428
0.173438 76.826
0.174219 77.51
0.175 77.642
0.175781 77.794
0.176563 77.254
0.177344 77.67
0.178125 77.884
0.178906 78.104
0.179688 78.234
0.18125 78.178
0.182031 78.188
0.182813 78.318
0.183594 78.568
0.184375 78.54
0.185156 78.51
0.185938 78.68
0.186719 78.864
0.1875 78.958
0.19375 79.026
0.194531 79.134
0.195312 79.336
0.196875 79.284
0.197656 79.312
0.198438 79.434
0.2 79.402
0.200781 79.592
0.201563 79.552
0.203125 79.562
0.20625 79.574
0.209375 79.602
0.210938 79.65
0.211719 79.776
0.2125 79.794
0.21875 79.83
0.225 79.914
0.25 79.956
0.3 79.99
0.4 80
0.5 80
0.6 80
0.7 80
0.8 80
0.9 80
1 80
