# N=150 REP=500 dy=0.1
# GRG
# midaCompConMax p
0 1
0.0015625 1.092
0.00234375 1.168
0.003125 1.296
0.00390625 1.438
0.0046875 1.538
0.00546875 1.636
0.00625 1.776
0.00703125 1.84
0.0078125 1.944
0.009375 2.016
0.0101563 2.084
0.0109375 2.12
0.0117188 2.166
0.0125 2.226
0.0140625 2.32
0.0148437 2.362
0.015625 2.424
0.0164063 2.496
0.0171875 2.534
0.0179688 2.702
0.01875 2.754
0.0195313 2.8
0.0203125 2.912
0.0210938 3.03
0.021875 3.074
0.0226563 3.154
0.0234375 3.268
0.0242188 3.36
0.025 3.464
0.0265625 3.554
0.0273438 3.722
0.028125 3.786
0.0289063 3.892
0.0296875 4.032
0.0304687 4.136
0.03125 4.136
0.0320312 4.298
0.0328125 4.41
0.0335938 4.548
0.034375 4.73
0.0351562 4.786
0.0359375 5.022
0.0367188 5.078
0.0375 5.276
0.0382813 5.304
0.0390625 5.428
0.0398438 5.624
0.040625 5.792
0.0414063 6.026
0.0421875 6.202
0.0429688 6.314
0.04375 6.574
0.0445313 6.672
0.0453125 6.84
0.0460938 7.222
0.046875 7.368
0.0476562 7.554
0.0484375 7.808
0.0492188 7.874
0.05 8.29
0.0507812 8.386
0.0515625 8.812
0.0523438 9.27
0.053125 9.462
0.0539063 9.738
0.0546875 9.924
0.0554687 10.198
0.05625 10.61
0.0570313 11.178
0.0578125 11.492
0.0585938 11.816
0.059375 12.254
0.0601562 12.24
0.0609375 13.094
0.0617188 13.99
0.0625 13.692
0.0632812 14.594
0.0640625 15.306
0.0648438 15.61
0.065625 15.976
0.0664062 16.652
0.0671875 17.096
0.0679688 18.33
0.06875 18.866
0.0695313 19.51
0.0703125 20.416
0.0710938 21.592
0.071875 22.19
0.0726563 22.91
0.0734375 23.534
0.0742188 24.748
0.075 26.194
0.0757813 26.948
0.0765625 28.84
0.0773438 30.392
0.078125 31.008
0.0789063 32.426
0.0796875 33.802
0.0804688 33.942
0.08125 37.952
0.0820313 40.43
0.0828125 41.954
0.0835938 42.156
0.084375 44.672
0.0851563 46.926
0.0859375 49.544
0.0867188 51.396
0.0875 54.294
0.0882813 55.184
0.0890625 58.86
0.0898438 59.752
0.090625 62.988
0.0914063 65.312
0.0921875 69.088
0.0929688 69.888
0.09375 76.958
0.0945312 76.714
0.0953125 81.702
0.0960938 82.332
0.096875 85.736
0.0976562 89.026
0.0984375 93.28
0.0992188 94.648
0.1 97.664
0.100781 100.76
0.101562 104.098
0.102344 106.636
0.103125 108.134
0.103906 112.372
0.104688 114.27
0.105469 114.484
0.10625 118.394
0.107031 122.792
0.107813 122.826
0.108594 124.802
0.109375 126.004
0.110156 129.954
0.110937 130.21
0.111719 133.02
0.1125 133.796
0.113281 135.248
0.114063 134.314
0.114844 137.396
0.115625 137.69
0.116406 138.462
0.117188 139.316
0.117969 140.564
0.11875 141.416
0.119531 141.284
0.120312 142.522
0.121094 144.31
0.121875 144.042
0.122656 143.98
0.123438 143.754
0.124219 145.274
0.125 145.268
0.125781 145.342
0.126562 146.022
0.127344 146.108
0.128125 146.68
0.128906 146.95
0.129688 146.516
0.130469 147.27
0.13125 147.792
0.132812 147.874
0.134375 147.9
0.135156 148.274
0.135938 148.148
0.136719 148.558
0.1375 148.414
0.138281 148.174
0.139063 149.056
0.140625 148.994
0.141406 149.166
0.142188 149.192
0.14375 149.24
0.145313 149.286
0.146875 149.374
0.15 149.398
0.150781 149.662
0.151563 149.572
0.153125 149.524
0.153906 149.66
0.154688 149.634
0.155469 149.676
0.15625 149.744
0.159375 149.746
0.160938 149.824
0.1625 149.868
0.175 149.944
0.2 149.994
0.3 150
0.4 150
0.5 150
0.6 150
0.7 150
0.8 150
0.9 150
1 150
