# N=25 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.0015625 1
0.00234375 0.988
0.003125 0.988
0.0046875 0.988
0.00546875 0.964
0.00625 0.976
0.00703125 0.954
0.0078125 0.956
0.00859375 0.942
0.009375 0.916
0.0101563 0.916
0.0109375 0.898
0.0117188 0.882
0.0125 0.86
0.0132813 0.874
0.0140625 0.85
0.0148437 0.834
0.015625 0.8
0.0164063 0.756
0.0171875 0.736
0.01875 0.736
0.0195313 0.728
0.0203125 0.686
0.0210938 0.608
0.021875 0.624
0.0226563 0.616
0.0234375 0.612
0.0242188 0.56
0.025 0.564
0.0257813 0.53
0.0265625 0.532
0.0273438 0.484
0.028125 0.454
0.0296875 0.456
0.0304687 0.456
0.03125 0.424
0.0320312 0.374
0.0328125 0.366
0.0335938 0.35
0.034375 0.334
0.0351562 0.336
0.0359375 0.318
0.0367188 0.286
0.0375 0.258
0.0390625 0.262
0.0398438 0.212
0.040625 0.224
0.0414063 0.218
0.0421875 0.186
0.0429688 0.206
0.04375 0.206
0.0445313 0.178
0.0453125 0.166
0.0460938 0.186
0.046875 0.128
0.0484375 0.134
0.0492188 0.086
0.05 0.108
0.0507812 0.088
0.0515625 0.09
0.053125 0.092
0.0539063 0.086
0.0546875 0.074
0.0554687 0.048
0.05625 0.042
0.059375 0.038
0.0625 0.03
0.065625 0.028
0.0671875 0.022
0.06875 0.016
0.075 0.008
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
0.925 0.004
0.95 0.012
0.9625 0.016
0.96875 0.024
0.975 0.03
0.98125 0.038
0.984375 0.042
0.9875 0.048
0.99375 0.044
0.996875 0.044
0.997656 0.034
0.998437 0.07
1 0.062
