# N=10 REP=500 dy=0.01
# BRG
# eulerianCycle p
0 1
0.00078125 0.956
0.0015625 0.942
0.00234375 0.92
0.003125 0.862
0.00390625 0.846
0.0046875 0.812
0.00546875 0.774
0.00625 0.772
0.00703125 0.728
0.0078125 0.69
0.00859375 0.724
0.009375 0.66
0.0101563 0.626
0.0109375 0.626
0.0117188 0.624
0.0125 0.554
0.0132813 0.588
0.0140625 0.516
0.0148437 0.516
0.015625 0.48
0.0164063 0.474
0.0171875 0.446
0.0179688 0.472
0.01875 0.434
0.0195313 0.402
0.0203125 0.42
0.0210938 0.408
0.021875 0.356
0.025 0.35
0.0257813 0.272
0.0265625 0.324
0.0273438 0.352
0.028125 0.25
0.03125 0.246
0.0320312 0.206
0.0328125 0.2
0.0335938 0.196
0.034375 0.22
0.0351562 0.226
0.0359375 0.19
0.0367188 0.176
0.0375 0.162
0.0390625 0.158
0.0398438 0.164
0.040625 0.192
0.0414063 0.13
0.0421875 0.112
0.04375 0.122
0.0453125 0.128
0.0460938 0.116
0.046875 0.106
0.0484375 0.098
0.05 0.09
0.0507812 0.104
0.0515625 0.1
0.0523438 0.074
0.053125 0.078
0.05625 0.076
0.0625 0.072
0.065625 0.064
0.06875 0.056
0.0695313 0.06
0.0703125 0.044
0.0710938 0.028
0.071875 0.03
0.075 0.032
0.08125 0.036
0.0820313 0.032
0.0828125 0.016
0.084375 0.018
0.0875 0.016
0.1 0.008
0.2 0.004
0.3 0
0.4 0
0.5 0.006
0.6 0
0.7 0.002
0.8 0.002
0.9 0.002
1 0
