# N=150 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.0125 0
0.01875 0
0.0195313 0
0.0203125 0.002
0.0210938 0.002
0.021875 0.006
0.0226563 0.01
0.0234375 0.016
0.0242188 0.01
0.025 0.046
0.0257813 0.036
0.0265625 0.054
0.0273438 0.072
0.028125 0.096
0.0289063 0.126
0.0296875 0.156
0.0304687 0.224
0.03125 0.28
0.0320312 0.282
0.0328125 0.334
0.0335938 0.36
0.034375 0.436
0.0351562 0.486
0.0359375 0.5
0.0367188 0.608
0.0375 0.57
0.0382813 0.64
0.0390625 0.642
0.0398438 0.708
0.040625 0.738
0.0414063 0.744
0.0421875 0.744
0.0429688 0.802
0.04375 0.814
0.0445313 0.842
0.0453125 0.868
0.0460938 0.908
0.046875 0.894
0.0476562 0.91
0.0484375 0.912
0.0492188 0.916
0.05 0.938
0.0507812 0.964
0.0515625 0.924
0.0523438 0.958
0.053125 0.962
0.0539063 0.97
0.0546875 0.956
0.0554687 0.968
0.05625 0.976
0.0570313 0.986
0.0578125 0.98
0.059375 0.98
0.0601562 0.982
0.0609375 0.994
0.0625 0.994
0.065625 0.994
0.0664062 0.988
0.0671875 1
0.0679688 1
0.06875 0.998
0.0695313 0.998
0.0703125 0.996
0.0710938 0.998
0.071875 1
0.075 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
