# N=80 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.0125 0.008
0.0132813 0.01
0.0140625 0.022
0.015625 0.028
0.0164063 0.028
0.0171875 0.04
0.0179688 0.048
0.01875 0.074
0.021875 0.08
0.0226563 0.12
0.0234375 0.112
0.0242188 0.154
0.025 0.158
0.0257813 0.17
0.0265625 0.176
0.0273438 0.214
0.028125 0.236
0.0289063 0.286
0.0296875 0.268
0.0304687 0.28
0.03125 0.316
0.0320312 0.36
0.0328125 0.382
0.0335938 0.372
0.034375 0.45
0.0351562 0.464
0.0359375 0.48
0.0367188 0.486
0.0375 0.57
0.0382813 0.576
0.0390625 0.592
0.0398438 0.616
0.040625 0.626
0.0414063 0.662
0.0421875 0.694
0.0429688 0.7
0.04375 0.718
0.0445313 0.794
0.0453125 0.772
0.0460938 0.832
0.046875 0.824
0.0476562 0.824
0.0484375 0.86
0.0492188 0.886
0.05 0.9
0.0515625 0.908
0.0523438 0.94
0.053125 0.934
0.0546875 0.942
0.05625 0.946
0.0570313 0.974
0.0578125 0.98
0.059375 0.982
0.0625 0.99
0.06875 0.996
0.075 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
