# N=80 REP=500 dy=0.01
# BRG
# cicle p
0 0
0.003125 0
0.0046875 0.006
0.00546875 0.02
0.00625 0.03
0.00703125 0.038
0.0078125 0.06
0.00859375 0.098
0.009375 0.142
0.0101563 0.204
0.0109375 0.226
0.0117188 0.274
0.0125 0.358
0.0132813 0.438
0.0140625 0.518
0.0148437 0.604
0.015625 0.666
0.0164063 0.744
0.0171875 0.806
0.0179688 0.88
0.01875 0.918
0.0195313 0.926
0.0203125 0.97
0.0210938 0.958
0.021875 0.98
0.0226563 0.988
0.0234375 0.99
0.0242188 0.998
0.025 1
0.05 1
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
