# N=80 REP=500 dy=0.01
# GRG
# eulerianPath p
0 1
0.003125 0.998
0.00390625 0.996
0.0046875 0.98
0.00546875 0.97
0.00625 0.942
0.00703125 0.898
0.0078125 0.884
0.00859375 0.834
0.009375 0.788
0.0101563 0.706
0.0109375 0.718
0.0117188 0.602
0.0125 0.548
0.0132813 0.47
0.0140625 0.416
0.0148437 0.414
0.015625 0.296
0.0164063 0.258
0.0171875 0.222
0.0179688 0.206
0.01875 0.168
0.0195313 0.124
0.0203125 0.084
0.0210938 0.062
0.021875 0.046
0.0226563 0.026
0.0234375 0.024
0.025 0.018
0.0265625 0.012
0.028125 0.006
0.03125 0
0.0375 0
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
