# N=80 REP=500 dy=0.001
# GRG
# esConnex p
0 0
0.1 0
0.125 0
0.128125 0
0.129688 0
0.130469 0
0.13125 0.002
0.1375 0.002
0.138281 0.004
0.139063 0.004
0.139844 0.004
0.140625 0.014
0.141406 0.01
0.142188 0.016
0.142969 0.014
0.14375 0.024
0.144531 0.022
0.145313 0.028
0.146094 0.024
0.146875 0.04
0.147656 0.034
0.148438 0.034
0.149219 0.052
0.15 0.056
0.150781 0.076
0.151563 0.066
0.152344 0.07
0.153125 0.074
0.153906 0.084
0.154688 0.106
0.155469 0.12
0.15625 0.116
0.157031 0.132
0.157813 0.144
0.158594 0.188
0.159375 0.198
0.160156 0.164
0.160938 0.23
0.161719 0.222
0.1625 0.238
0.163281 0.23
0.164063 0.26
0.164844 0.274
0.165625 0.294
0.166406 0.298
0.167188 0.342
0.167969 0.358
0.16875 0.376
0.169531 0.374
0.170313 0.364
0.171094 0.406
0.171875 0.41
0.172656 0.432
0.173438 0.442
0.174219 0.422
0.175 0.456
0.175781 0.476
0.176563 0.464
0.177344 0.512
0.178125 0.54
0.178906 0.56
0.179688 0.542
0.180469 0.572
0.18125 0.556
0.182031 0.576
0.182813 0.622
0.183594 0.596
0.184375 0.642
0.185938 0.642
0.186719 0.658
0.1875 0.682
0.188281 0.678
0.189062 0.714
0.189844 0.694
0.190625 0.724
0.192188 0.724
0.192969 0.716
0.19375 0.746
0.195312 0.746
0.196094 0.782
0.196875 0.754
0.197656 0.798
0.198438 0.766
0.199219 0.798
0.2 0.812
0.200781 0.816
0.201563 0.838
0.202344 0.828
0.203125 0.848
0.203906 0.83
0.204688 0.832
0.205469 0.84
0.20625 0.846
0.207813 0.846
0.208594 0.862
0.209375 0.85
0.210156 0.88
0.210938 0.884
0.211719 0.878
0.2125 0.908
0.213281 0.896
0.214063 0.926
0.214844 0.928
0.215625 0.896
0.216406 0.9
0.217188 0.89
0.217969 0.914
0.21875 0.912
0.219531 0.936
0.220312 0.914
0.221094 0.926
0.221875 0.916
0.222656 0.936
0.223438 0.918
0.224219 0.934
0.225 0.932
0.225781 0.926
0.226562 0.922
0.227344 0.94
0.228125 0.952
0.228906 0.95
0.229688 0.932
0.230469 0.954
0.23125 0.948
0.232031 0.972
0.232813 0.964
0.233594 0.944
0.234375 0.96
0.235156 0.962
0.235937 0.958
0.236719 0.958
0.2375 0.966
0.238281 0.958
0.239062 0.968
0.239844 0.962
0.240625 0.958
0.241406 0.966
0.242188 0.972
0.242969 0.972
0.24375 0.976
0.244531 0.978
0.245312 0.968
0.246094 0.978
0.246875 0.964
0.247656 0.988
0.248438 0.982
0.249219 0.96
0.25 0.98
0.250781 0.992
0.251563 0.988
0.252344 0.978
0.253125 0.982
0.254687 0.982
0.255469 0.986
0.25625 0.984
0.259375 0.984
0.260938 0.984
0.261719 0.988
0.2625 0.992
0.263281 0.994
0.264062 0.98
0.264844 0.992
0.265625 0.986
0.266406 0.988
0.267188 0.992
0.267969 0.986
0.26875 0.996
0.271875 0.996
0.272656 0.988
0.273438 0.992
0.274219 0.99
0.275 0.988
0.275781 0.998
0.276563 0.992
0.278125 0.992
0.278906 0.996
0.279687 0.998
0.28125 0.998
0.282031 0.992
0.282813 0.996
0.283594 0.996
0.284375 1
0.2875 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
