# N=50 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.0015625 0.992
0.00234375 0.982
0.003125 0.95
0.00390625 0.95
0.0046875 0.934
0.00546875 0.892
0.00625 0.854
0.00703125 0.828
0.0078125 0.818
0.00859375 0.738
0.009375 0.682
0.0101563 0.616
0.0109375 0.624
0.0117188 0.61
0.0125 0.55
0.0132813 0.534
0.0140625 0.476
0.0148437 0.408
0.015625 0.408
0.0164063 0.322
0.0171875 0.352
0.0179688 0.258
0.01875 0.25
0.0195313 0.232
0.0203125 0.2
0.021875 0.198
0.0226563 0.138
0.0234375 0.146
0.0242188 0.09
0.025 0.114
0.0257813 0.066
0.0265625 0.052
0.0273438 0.038
0.028125 0.062
0.0289063 0.04
0.0296875 0.032
0.03125 0.026
0.0320312 0.022
0.0328125 0.012
0.034375 0.014
0.0375 0.008
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
