# N=50 REP=500 dy=0.1
# p-connected p
0 50
0.003125 49.948
0.0046875 49.938
0.00625 49.846
0.00703125 49.794
0.0078125 49.722
0.009375 49.654
0.0101563 49.584
0.0109375 49.548
0.0117188 49.502
0.0125 49.384
0.0132813 49.35
0.0140625 49.238
0.015625 49.16
0.0164063 49.022
0.0171875 48.832
0.0179688 48.814
0.01875 48.728
0.0195313 48.534
0.0203125 48.438
0.0210938 48.336
0.021875 48.222
0.0226563 48.12
0.0234375 48.07
0.0242188 47.734
0.025 47.708
0.0257813 47.496
0.0265625 47.372
0.0273438 47.168
0.028125 47.14
0.0289063 46.808
0.0296875 46.71
0.0304687 46.646
0.03125 46.568
0.0320312 46.422
0.0328125 46.198
0.0335938 45.838
0.034375 45.652
0.0351562 45.396
0.0359375 45.414
0.0367188 45.296
0.0375 44.844
0.0382813 44.854
0.0390625 44.326
0.0398438 44.306
0.040625 44.194
0.0414063 43.958
0.0421875 43.706
0.0429688 43.56
0.04375 43.294
0.0445313 42.928
0.0453125 42.89
0.0460938 42.676
0.046875 42.326
0.0476562 42.152
0.0484375 42
0.0492188 41.624
0.05 41.45
0.0507812 41.072
0.0515625 40.68
0.0523438 40.738
0.053125 40.45
0.0539063 40.13
0.0546875 39.94
0.0554687 39.572
0.05625 39.3
0.0570313 39.022
0.0578125 38.94
0.0585938 38.394
0.059375 38.366
0.0601562 38.196
0.0609375 37.646
0.0617188 37.69
0.0625 37.302
0.0632812 37.094
0.0640625 36.918
0.0648438 36.474
0.065625 35.884
0.0664062 35.762
0.0671875 35.734
0.0679688 35.348
0.06875 35.03
0.0695313 34.752
0.0703125 34.424
0.0710938 34.106
0.071875 33.77
0.0726563 33.624
0.0734375 33.274
0.0742188 33.05
0.075 32.858
0.0757813 32.618
0.0765625 32.344
0.0773438 32.04
0.078125 31.344
0.0789063 31.162
0.0796875 30.812
0.0804688 30.65
0.08125 30.298
0.0820313 30.042
0.0828125 29.812
0.0835938 29.616
0.084375 29.294
0.0851563 28.824
0.0859375 28.39
0.0867188 28.268
0.0875 27.944
0.0882813 27.646
0.0890625 27.5
0.0898438 27.144
0.090625 26.792
0.0914063 26.438
0.0921875 26.348
0.0929688 25.698
0.09375 25.706
0.0945312 25.33
0.0953125 25.122
0.0960938 25.08
0.096875 24.468
0.0976562 24.192
0.0984375 23.78
0.0992188 23.528
0.1 23.358
0.100781 23.27
0.101562 22.81
0.102344 22.276
0.103125 22.174
0.103906 22.068
0.104688 21.702
0.105469 21.37
0.10625 21.234
0.107031 20.758
0.107813 20.238
0.108594 20.332
0.109375 19.788
0.110156 19.822
0.110937 19.43
0.111719 19.394
0.1125 19.012
0.113281 18.428
0.114063 18.572
0.114844 17.966
0.115625 17.964
0.116406 17.656
0.117188 17.768
0.117969 16.968
0.11875 16.82
0.119531 16.446
0.120312 16.414
0.121094 16.138
0.121875 15.91
0.122656 15.578
0.123438 15.336
0.124219 14.99
0.125 15.094
0.125781 14.58
0.126562 14.39
0.127344 14.164
0.128125 14.148
0.128906 13.764
0.129688 13.89
0.130469 13.268
0.13125 12.974
0.132031 12.76
0.132812 12.37
0.133594 12.38
0.134375 12.238
0.135156 11.952
0.135938 11.864
0.136719 11.518
0.1375 11.334
0.138281 11.02
0.139063 10.958
0.139844 10.778
0.140625 10.61
0.141406 10.436
0.142188 10.306
0.142969 10.27
0.14375 9.842
0.144531 9.544
0.145313 9.688
0.146094 9.226
0.146875 9.134
0.147656 9.048
0.148438 8.832
0.149219 8.686
0.15 8.482
0.150781 8.422
0.151563 8.192
0.152344 7.96
0.153125 7.806
0.153906 7.432
0.154688 7.542
0.155469 7.364
0.15625 7.186
0.157031 7.118
0.157813 6.976
0.158594 6.8
0.159375 6.526
0.160938 6.428
0.161719 6.216
0.1625 6.226
0.163281 6.178
0.164063 5.904
0.164844 5.748
0.165625 5.666
0.166406 5.69
0.167188 5.39
0.167969 5.15
0.16875 5.18
0.169531 5.006
0.170313 4.876
0.171875 4.8
0.172656 4.768
0.173438 4.518
0.174219 4.48
0.175 4.416
0.175781 4.344
0.176563 4.224
0.177344 4.106
0.178125 3.99
0.179688 3.94
0.180469 3.794
0.18125 3.752
0.182031 3.602
0.182813 3.52
0.184375 3.426
0.185156 3.286
0.185938 3.214
0.1875 3.136
0.189062 3.046
0.189844 3.024
0.190625 2.912
0.192188 2.844
0.19375 2.786
0.194531 2.692
0.195312 2.662
0.196094 2.536
0.196875 2.484
0.198438 2.446
0.199219 2.358
0.2 2.284
0.201563 2.368
0.202344 2.202
0.203125 2.182
0.20625 2.136
0.207031 2.07
0.207813 1.966
0.209375 1.998
0.210156 1.922
0.210938 1.836
0.2125 1.878
0.214063 1.828
0.215625 1.77
0.21875 1.714
0.220312 1.646
0.221875 1.6
0.225 1.61
0.225781 1.468
0.226562 1.476
0.228125 1.446
0.23125 1.406
0.234375 1.342
0.2375 1.288
0.25 1.22
0.2625 1.132
0.275 1.106
0.3 1.036
0.4 1.002
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
