# N=150 REP=500 dy=0.1
# p-connected p
0 150
0.00078125 141.388
0.0015625 132.666
0.00234375 123.844
0.003125 115.196
0.00390625 106.248
0.0046875 97.304
0.00546875 89.246
0.00625 80.24
0.00703125 72.098
0.0078125 63.988
0.00859375 56.76
0.009375 49.39
0.0101563 43.466
0.0109375 37.532
0.0117188 33.21
0.0125 29.178
0.0132813 25.608
0.0140625 22.09
0.0148437 19.622
0.015625 17.722
0.0164063 15.51
0.0171875 13.688
0.0179688 12.292
0.01875 10.908
0.0195313 9.632
0.0203125 8.38
0.0210938 7.78
0.021875 7.22
0.0226563 6.306
0.0234375 5.584
0.0242188 5.178
0.025 4.564
0.0257813 4.096
0.0265625 3.84
0.0273438 3.496
0.028125 3.25
0.0289063 2.976
0.0296875 2.746
0.0304687 2.496
0.03125 2.354
0.0320312 2.164
0.0328125 2.126
0.0335938 1.892
0.034375 1.876
0.0351562 1.7
0.0359375 1.616
0.0375 1.532
0.0390625 1.434
0.0398438 1.324
0.040625 1.282
0.0421875 1.24
0.04375 1.18
0.046875 1.134
0.05 1.06
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
