# N=100 REP=500 dy=0.1
# p-connected p
0 100
0.0015625 99.958
0.00234375 99.892
0.003125 99.848
0.00390625 99.764
0.0046875 99.656
0.00546875 99.52
0.00625 99.394
0.00703125 99.198
0.0078125 99.074
0.00859375 98.852
0.009375 98.692
0.0101563 98.398
0.0109375 98.198
0.0117188 97.982
0.0125 97.648
0.0132813 97.304
0.0140625 96.946
0.0148437 96.694
0.015625 96.378
0.0164063 96.028
0.0171875 95.498
0.0179688 95.228
0.01875 94.702
0.0195313 94.212
0.0203125 93.894
0.0210938 93.278
0.021875 92.922
0.0226563 92.272
0.0234375 91.902
0.0242188 91.472
0.025 90.956
0.0257813 90.37
0.0265625 89.818
0.0273438 89.074
0.028125 88.434
0.0289063 87.932
0.0296875 87.158
0.0304687 86.414
0.03125 86.218
0.0320312 85.55
0.0328125 84.696
0.0335938 84.044
0.034375 83.33
0.0351562 82.536
0.0359375 81.884
0.0367188 81.364
0.0375 80.758
0.0382813 79.916
0.0390625 78.92
0.0398438 78.336
0.040625 77.384
0.0414063 76.992
0.0421875 76.026
0.0429688 75.16
0.04375 74.482
0.0445313 73.668
0.0453125 72.798
0.0460938 71.982
0.046875 71.352
0.0476562 70.04
0.0484375 69.412
0.0492188 68.896
0.05 67.928
0.0507812 66.922
0.0515625 66.276
0.0523438 65.318
0.053125 64.514
0.0539063 63.788
0.0546875 62.502
0.0554687 62.042
0.05625 61.194
0.0570313 60.124
0.0578125 59.27
0.0585938 58.374
0.059375 57.646
0.0601562 56.664
0.0609375 56.02
0.0617188 55.308
0.0625 54.174
0.0632812 53.068
0.0640625 52.542
0.0648438 51.25
0.065625 50.866
0.0664062 49.432
0.0671875 49.03
0.0679688 47.95
0.06875 47.36
0.0695313 46.248
0.0703125 45.426
0.0710938 44.904
0.071875 43.97
0.0726563 43.264
0.0734375 42.386
0.0742188 41.332
0.075 40.614
0.0757813 39.942
0.0765625 39.454
0.0773438 38.298
0.078125 37.578
0.0789063 36.99
0.0796875 36.036
0.0804688 35.282
0.08125 34.292
0.0820313 33.394
0.0828125 33.214
0.0835938 31.918
0.084375 31.158
0.0851563 30.558
0.0859375 30.034
0.0867188 29.308
0.0875 28.302
0.0882813 27.928
0.0890625 27.22
0.0898438 26.344
0.090625 25.882
0.0914063 25.324
0.0921875 24.384
0.0929688 23.9
0.09375 23.11
0.0945312 22.772
0.0953125 21.814
0.0960938 21.332
0.096875 20.696
0.0976562 19.83
0.0984375 19.518
0.0992188 18.82
0.1 18.424
0.100781 17.89
0.101562 17.274
0.102344 16.904
0.103125 16.49
0.103906 15.904
0.104688 15.292
0.105469 14.95
0.10625 14.324
0.107031 13.888
0.107813 13.742
0.108594 12.994
0.109375 12.656
0.110156 12.178
0.110937 11.816
0.111719 11.496
0.1125 11.28
0.113281 10.622
0.114063 10.292
0.114844 10.108
0.115625 9.466
0.116406 9.202
0.117188 9.072
0.117969 8.522
0.11875 8.108
0.119531 7.934
0.120312 7.632
0.121094 7.422
0.121875 7.108
0.122656 6.93
0.123438 6.656
0.124219 6.504
0.125 6.172
0.125781 6.048
0.126562 5.484
0.127344 5.49
0.128125 5.292
0.128906 5.19
0.129688 5.086
0.130469 4.878
0.13125 4.746
0.132031 4.328
0.132812 4.31
0.133594 4.21
0.134375 4.086
0.135156 3.952
0.135938 3.756
0.136719 3.672
0.1375 3.56
0.138281 3.406
0.139063 3.32
0.139844 3.176
0.140625 3.126
0.141406 3.05
0.142188 2.856
0.142969 2.912
0.14375 2.752
0.144531 2.668
0.145313 2.604
0.146094 2.492
0.146875 2.456
0.147656 2.4
0.148438 2.332
0.149219 2.264
0.15 2.18
0.151563 2.136
0.152344 2.122
0.153125 1.97
0.154688 1.952
0.155469 1.918
0.15625 1.768
0.159375 1.778
0.160156 1.636
0.160938 1.64
0.1625 1.614
0.165625 1.528
0.16875 1.436
0.170313 1.398
0.171875 1.302
0.175 1.282
0.18125 1.192
0.1875 1.122
0.2 1.076
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
