# N=10 REP=500 dy=0.1
# p-connected p
0 10
0.0125 9.98
0.025 9.898
0.0375 9.814
0.04375 9.714
0.05 9.632
0.05625 9.532
0.0625 9.476
0.06875 9.402
0.071875 9.366
0.0734375 9.286
0.075 9.254
0.078125 9.194
0.08125 9.128
0.0875 9.06
0.090625 8.97
0.09375 8.9
0.0953125 8.886
0.0960938 8.818
0.096875 8.728
0.1 8.678
0.10625 8.636
0.109375 8.576
0.1125 8.49
0.11875 8.46
0.119531 8.234
0.120312 8.242
0.121875 8.246
0.125 8.19
0.126562 8.162
0.127344 8.15
0.128125 8.016
0.13125 7.958
0.134375 7.946
0.135156 7.898
0.135938 7.814
0.1375 7.796
0.140625 7.788
0.142188 7.698
0.14375 7.662
0.146875 7.62
0.148438 7.56
0.149219 7.444
0.15 7.44
0.153125 7.484
0.153906 7.342
0.154688 7.35
0.15625 7.288
0.159375 7.242
0.160938 7.162
0.161719 7.146
0.1625 7.056
0.16875 6.97
0.171875 6.912
0.173438 6.818
0.175 6.782
0.178125 6.692
0.179688 6.638
0.180469 6.532
0.18125 6.494
0.1875 6.488
0.189062 6.456
0.189844 6.496
0.190625 6.32
0.19375 6.226
0.196875 6.166
0.2 6.122
0.200781 6.008
0.201563 5.89
0.203125 5.878
0.20625 5.91
0.209375 5.834
0.210156 5.79
0.210938 5.724
0.2125 5.714
0.215625 5.632
0.21875 5.56
0.219531 5.43
0.220312 5.41
0.221875 5.428
0.223438 5.332
0.225 5.322
0.23125 5.26
0.2375 5.19
0.238281 4.96
0.239062 4.944
0.240625 4.914
0.24375 4.838
0.245312 4.798
0.246875 4.702
0.25 4.682
0.253125 4.628
0.254687 4.564
0.25625 4.524
0.259375 4.474
0.2625 4.382
0.265625 4.42
0.266406 4.29
0.267188 4.156
0.26875 4.158
0.271875 4.144
0.272656 4.04
0.273438 4.04
0.275 4.044
0.276563 4.038
0.277344 3.914
0.278125 3.936
0.28125 3.914
0.2875 3.826
0.289062 3.752
0.289844 3.658
0.290625 3.584
0.29375 3.538
0.3 3.45
0.301562 3.444
0.302344 3.444
0.303125 3.306
0.30625 3.328
0.309375 3.31
0.310937 3.274
0.3125 3.198
0.315625 3.102
0.31875 3.058
0.325 2.978
0.326562 2.936
0.328125 2.842
0.33125 2.838
0.334375 2.822
0.335938 2.796
0.336719 2.806
0.3375 2.694
0.34375 2.64
0.346875 2.562
0.35 2.496
0.353125 2.45
0.35625 2.38
0.3625 2.346
0.36875 2.28
0.371875 2.288
0.372656 2.214
0.373437 2.166
0.375 2.132
0.378125 2.15
0.379687 2.076
0.38125 1.998
0.3875 1.96
0.39375 1.938
0.396875 1.97
0.398438 1.902
0.399219 1.88
0.4 1.794
0.4125 1.766
0.41875 1.756
0.420313 1.68
0.421875 1.644
0.425 1.6
0.43125 1.522
0.4375 1.492
0.45 1.438
0.4625 1.386
0.475 1.326
0.48125 1.276
0.4875 1.22
0.5 1.214
0.525 1.138
0.55 1.1
0.6 1.036
0.7 1.002
0.8 1
0.9 1
1 1
