# N=100 REP=500 dy=0.1
# p-connected p
0 100
0.00078125 96.012
0.0015625 92.232
0.00234375 88.56
0.003125 84.366
0.00390625 80.368
0.0046875 76.97
0.00546875 72.846
0.00625 69.088
0.00703125 65.206
0.0078125 61.412
0.00859375 57.78
0.009375 54.082
0.0101563 50.07
0.0109375 47.002
0.0117188 43.214
0.0125 39.89
0.0132813 37.056
0.0140625 33.592
0.0148437 30.918
0.015625 28.276
0.0164063 25.718
0.0171875 23.806
0.0179688 21.83
0.01875 19.558
0.0195313 18.844
0.0203125 16.93
0.0210938 15.618
0.021875 14.132
0.0226563 13.212
0.0234375 11.954
0.0242188 11.156
0.025 10.138
0.0257813 9.512
0.0265625 8.502
0.0273438 8.102
0.028125 7.77
0.0289063 6.998
0.0296875 6.632
0.0304687 5.994
0.03125 5.698
0.0320312 5.436
0.0328125 4.95
0.0335938 4.722
0.034375 4.366
0.0351562 4.118
0.0359375 3.84
0.0367188 3.72
0.0375 3.266
0.0382813 3.27
0.0390625 2.878
0.040625 2.808
0.0414063 2.556
0.0421875 2.378
0.0429688 2.39
0.04375 2.186
0.0445313 2.116
0.0453125 2.044
0.046875 1.952
0.0476562 1.814
0.0484375 1.78
0.0492188 1.666
0.05 1.676
0.0507812 1.608
0.0515625 1.442
0.053125 1.44
0.05625 1.342
0.0578125 1.294
0.0585938 1.232
0.059375 1.192
0.0625 1.138
0.075 1.058
0.1 1.006
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
