# N=10 REP=500 dy=0.1
# p-connected p
0 10
0.0015625 9.926
0.003125 9.878
0.0046875 9.784
0.00625 9.692
0.009375 9.648
0.0101563 9.542
0.0109375 9.512
0.0125 9.472
0.0140625 9.424
0.015625 9.328
0.0164063 9.234
0.0171875 9.128
0.01875 9.2
0.0195313 9.164
0.0203125 9.07
0.021875 9.064
0.0226563 9.09
0.0234375 8.95
0.025 8.88
0.0257813 8.874
0.0265625 8.746
0.028125 8.732
0.0296875 8.666
0.0304687 8.652
0.03125 8.546
0.034375 8.474
0.0359375 8.414
0.0375 8.354
0.040625 8.286
0.0414063 8.066
0.0421875 8.052
0.04375 8.042
0.0453125 7.996
0.0460938 8.036
0.046875 7.888
0.0484375 7.92
0.0492188 7.798
0.05 7.782
0.0515625 7.692
0.053125 7.642
0.0539063 7.618
0.0546875 7.504
0.05625 7.502
0.0570313 7.478
0.0578125 7.296
0.059375 7.328
0.0609375 7.234
0.0625 7.14
0.065625 7.208
0.0664062 7.194
0.0671875 6.98
0.06875 6.948
0.071875 6.862
0.0734375 6.822
0.075 6.754
0.0765625 6.656
0.0773438 6.652
0.078125 6.54
0.0789063 6.468
0.0796875 6.312
0.08125 6.388
0.0875 6.288
0.0882813 6.142
0.0890625 6.148
0.0898438 6.096
0.090625 6.002
0.09375 5.93
0.0953125 5.91
0.0960938 5.808
0.096875 5.766
0.0984375 5.778
0.0992188 5.616
0.1 5.578
0.10625 5.49
0.107813 5.498
0.108594 5.518
0.109375 5.316
0.1125 5.29
0.115625 5.322
0.116406 5.146
0.117188 5.114
0.117969 5.218
0.11875 4.912
0.121875 4.856
0.123438 4.896
0.124219 4.964
0.125 4.728
0.128125 4.718
0.129688 4.7
0.130469 4.49
0.13125 4.498
0.1375 4.536
0.138281 4.378
0.139063 4.282
0.139844 4.434
0.140625 4.152
0.142188 4.194
0.142969 4.268
0.14375 4.038
0.15 4.068
0.150781 3.952
0.151563 3.898
0.153125 3.938
0.15625 3.842
0.157031 3.734
0.157813 3.684
0.159375 3.606
0.1625 3.546
0.16875 3.542
0.169531 3.408
0.170313 3.316
0.171875 3.32
0.175 3.358
0.175781 3.336
0.176563 3.152
0.178125 3.23
0.179688 3.19
0.180469 3.296
0.18125 3.07
0.1875 3.084
0.188281 2.994
0.189062 2.95
0.190625 2.89
0.19375 2.802
0.196875 2.83
0.198438 2.818
0.199219 2.774
0.2 2.628
0.20625 2.538
0.2125 2.492
0.214063 2.398
0.215625 2.362
0.21875 2.27
0.225 2.218
0.23125 2.212
0.232813 2.158
0.234375 2.062
0.2375 1.992
0.25 1.924
0.253125 1.924
0.254687 1.95
0.255469 1.87
0.25625 1.816
0.2625 1.776
0.26875 1.678
0.275 1.674
0.28125 1.636
0.2875 1.536
0.3 1.47
0.3125 1.45
0.31875 1.404
0.321875 1.37
0.325 1.29
0.35 1.248
0.375 1.152
0.4 1.116
0.45 1.032
0.5 1.012
0.6 1.004
0.7 1
0.8 1
0.9 1
1 1
