# N=150 REP=500 dy=0.1
# p-connected p
0 150
0.0015625 149.914
0.00234375 149.828
0.003125 149.586
0.00390625 149.462
0.0046875 149.22
0.00546875 148.958
0.00625 148.716
0.00703125 148.32
0.0078125 147.808
0.00859375 147.392
0.009375 146.912
0.0101563 146.368
0.0109375 145.806
0.0117188 145.182
0.0125 144.698
0.0132813 144.062
0.0140625 143.188
0.0148437 142.464
0.015625 141.778
0.0164063 141.064
0.0171875 140.156
0.0179688 138.872
0.01875 138.092
0.0195313 137.31
0.0203125 136.548
0.0210938 135.516
0.021875 134.38
0.0226563 133.226
0.0234375 132.104
0.0242188 130.876
0.025 129.586
0.0257813 128.338
0.0265625 127.644
0.0273438 125.73
0.028125 124.968
0.0289063 123.654
0.0296875 121.882
0.0304687 120.818
0.03125 119.38
0.0320312 117.962
0.0328125 116.858
0.0335938 115.476
0.034375 113.688
0.0351562 112.466
0.0359375 111.008
0.0367188 109.448
0.0375 107.55
0.0382813 106.236
0.0390625 104.866
0.0398438 103.404
0.040625 101.806
0.0414063 100.47
0.0421875 98.268
0.0429688 97.066
0.04375 95.784
0.0445313 93.816
0.0453125 92.094
0.0460938 90.534
0.046875 88.928
0.0476562 87.706
0.0484375 85.566
0.0492188 84.132
0.05 82.11
0.0507812 80.916
0.0515625 79.5
0.0523438 77.466
0.053125 75.694
0.0539063 74.238
0.0546875 72.79
0.0554687 71.494
0.05625 69.808
0.0570313 68.384
0.0578125 66.546
0.0585938 64.996
0.059375 63.3
0.0601562 61.868
0.0609375 60.382
0.0617188 58.77
0.0625 57.484
0.0632812 55.772
0.0640625 54.63
0.0648438 53.204
0.065625 51.364
0.0664062 50.078
0.0671875 48.908
0.0679688 47.336
0.06875 45.966
0.0695313 44.648
0.0703125 42.93
0.0710938 42.18
0.071875 40.484
0.0726563 39.284
0.0734375 38.25
0.0742188 36.912
0.075 35.64
0.0757813 34.686
0.0765625 33.306
0.0773438 31.878
0.078125 30.996
0.0789063 30.17
0.0796875 29.29
0.0804688 27.832
0.08125 26.47
0.0820313 25.812
0.0828125 25.012
0.0835938 23.78
0.084375 22.886
0.0851563 22.168
0.0859375 21.15
0.0867188 20.044
0.0875 19.072
0.0882813 18.318
0.0890625 17.754
0.0898438 16.996
0.090625 16.282
0.0914063 15.544
0.0921875 15.412
0.0929688 14.098
0.09375 13.25
0.0945312 12.856
0.0953125 12.13
0.0960938 11.708
0.096875 11.112
0.0976562 10.652
0.0984375 9.944
0.0992188 9.384
0.1 9.238
0.100781 8.578
0.101562 8.166
0.102344 7.82
0.103125 7.122
0.103906 7.104
0.104688 6.726
0.105469 6.49
0.10625 6.074
0.107031 5.82
0.107813 5.384
0.108594 5.202
0.109375 4.936
0.110156 4.678
0.110937 4.632
0.111719 4.332
0.1125 4.052
0.113281 3.902
0.114063 3.758
0.114844 3.73
0.115625 3.526
0.116406 3.262
0.117188 3.212
0.117969 3.034
0.11875 2.878
0.119531 2.78
0.120312 2.644
0.121875 2.558
0.122656 2.466
0.123438 2.326
0.124219 2.288
0.125 2.202
0.125781 2.144
0.126562 2.102
0.127344 1.978
0.128125 1.944
0.128906 1.936
0.129688 1.812
0.13125 1.77
0.132812 1.748
0.133594 1.622
0.134375 1.578
0.135938 1.516
0.1375 1.44
0.140625 1.39
0.14375 1.324
0.146875 1.276
0.15 1.206
0.15625 1.144
0.1625 1.098
0.175 1.032
0.2 1.006
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
