# N=80 REP=500 dy=0.1
# p-connected p
0 80
0.003125 79.902
0.00390625 79.84
0.0046875 79.782
0.00546875 79.684
0.00625 79.642
0.00703125 79.518
0.0078125 79.398
0.00859375 79.264
0.009375 79.176
0.0101563 78.958
0.0109375 78.884
0.0117188 78.634
0.0125 78.554
0.0132813 78.278
0.0140625 78.044
0.0148437 77.84
0.015625 77.614
0.0164063 77.298
0.0171875 76.982
0.0179688 76.92
0.01875 76.636
0.0195313 76.296
0.0203125 76.06
0.0210938 75.636
0.021875 75.41
0.0226563 75.15
0.0234375 74.742
0.0242188 74.316
0.025 74.148
0.0257813 73.758
0.0265625 73.38
0.0273438 73.042
0.028125 72.718
0.0289063 72.202
0.0296875 71.706
0.0304687 71.342
0.03125 70.896
0.0320312 70.496
0.0328125 70.296
0.0335938 69.516
0.034375 69.35
0.0351562 68.712
0.0359375 68.238
0.0367188 67.704
0.0375 67.36
0.0382813 67.058
0.0390625 66.702
0.0398438 65.71
0.040625 65.392
0.0414063 64.942
0.0421875 64.51
0.0429688 63.648
0.04375 63.52
0.0445313 62.678
0.0453125 62.154
0.0460938 61.902
0.046875 61.322
0.0476562 60.438
0.0484375 59.86
0.0492188 59.064
0.05 59.07
0.0507812 58.394
0.0515625 57.628
0.0523438 57.184
0.053125 56.656
0.0539063 56.184
0.0546875 55.508
0.0554687 54.608
0.05625 53.94
0.0570313 53.882
0.0578125 52.89
0.0585938 52.294
0.059375 51.758
0.0601562 51.444
0.0609375 50.516
0.0617188 49.752
0.0625 49.218
0.0632812 48.85
0.0640625 48.292
0.0648438 47.62
0.065625 47.038
0.0664062 46.506
0.0671875 45.642
0.0679688 44.948
0.06875 44.588
0.0695313 43.678
0.0703125 43.142
0.0710938 42.84
0.071875 41.858
0.0726563 41.26
0.0734375 40.814
0.0742188 40.272
0.075 39.536
0.0757813 38.798
0.0765625 38.746
0.0773438 37.488
0.078125 37.142
0.0789063 36.72
0.0796875 35.832
0.0804688 35.294
0.08125 34.914
0.0820313 34.514
0.0828125 33.474
0.0835938 33.514
0.084375 32.516
0.0851563 32.11
0.0859375 31.096
0.0867188 30.618
0.0875 30.44
0.0882813 29.966
0.0890625 29.206
0.0898438 28.778
0.090625 28.146
0.0914063 27.624
0.0921875 26.788
0.0929688 26.232
0.09375 25.93
0.0945312 25.384
0.0953125 25.018
0.0960938 24.47
0.096875 23.634
0.0976562 23.308
0.0984375 22.986
0.0992188 22.418
0.1 21.894
0.100781 21.448
0.101562 20.906
0.102344 20.524
0.103125 19.938
0.103906 19.218
0.104688 19.288
0.105469 18.916
0.10625 18.318
0.107031 17.74
0.107813 17.586
0.108594 17.242
0.109375 16.54
0.110156 16.03
0.110937 15.898
0.111719 15.228
0.1125 14.888
0.113281 14.458
0.114063 14.19
0.114844 13.78
0.115625 13.514
0.116406 13.118
0.117188 12.762
0.117969 12.38
0.11875 12.198
0.119531 11.654
0.120312 11.314
0.121094 11.222
0.121875 10.886
0.122656 10.458
0.123438 10.18
0.124219 10.026
0.125 9.57
0.125781 9.38
0.126562 9.108
0.127344 8.868
0.128125 8.772
0.128906 8.152
0.129688 8.336
0.130469 7.784
0.13125 7.766
0.132031 7.37
0.132812 7.058
0.133594 6.988
0.134375 6.852
0.135156 6.442
0.135938 6.39
0.136719 5.956
0.1375 5.972
0.138281 5.714
0.139063 5.674
0.139844 5.418
0.140625 5.25
0.141406 5.334
0.142188 4.99
0.142969 4.856
0.14375 4.388
0.145313 4.418
0.146094 4.282
0.146875 4.044
0.147656 3.976
0.148438 3.902
0.149219 3.83
0.15 3.594
0.151563 3.562
0.152344 3.442
0.153125 3.164
0.153906 3.182
0.154688 3.056
0.15625 2.976
0.157031 2.914
0.157813 2.638
0.159375 2.566
0.160938 2.578
0.161719 2.496
0.1625 2.422
0.163281 2.444
0.164063 2.278
0.165625 2.298
0.166406 2.14
0.167188 2.1
0.16875 2.006
0.170313 1.946
0.171875 1.872
0.173438 1.776
0.175 1.738
0.176563 1.76
0.177344 1.594
0.178125 1.594
0.18125 1.618
0.182031 1.568
0.182813 1.498
0.184375 1.466
0.1875 1.382
0.190625 1.328
0.19375 1.264
0.2 1.244
0.203125 1.2
0.20625 1.128
0.2125 1.116
0.225 1.08
0.25 1.014
0.3 1.004
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
